module_genes	seed	edges	module_score	m_gwas	m_scrnaseq	module_score_z	z_gwas	z_scrnaseq	cell_type
ANKS1B:ERBB4:FOXP1:MACF1:TCF4	OPTN	109169:20084:165239:20071:121145	10.17052071579132	5.230161015209485	5.06039933549416	3.1254110647740543	2.1880226026500225	2.198929147625675	Astro
BRINP2:BRINP3:STIM2	TXNDC15	44722:44741	3.775341410633779	1.7895534386135308	2.4595400439767023	-1.236235943951853	-1.4560407812689398	-0.4672693163790686	Astro
ERBB4:MAGI2:PCDH7:TCF4	ARPC5L	109169:191944:109085:109054	8.7923210762694	4.310078458408165	4.897883666567409	2.6645329456043703	1.5355184870823155	2.5366643977752212	Astro
DPYD:ME1:NPL	TBCD	171363:95635	4.853591388499229	3.557748653856199	2.2327548431931072	-0.18298940496192131	1.2928455168772792	-0.8192524332971789	Astro
CKB:EPB41L2:SIPA1L3:SRPK2	FKBP2	107653:219961:68698	6.377215601091418	3.6706124111211773	3.1059088836236826	0.27438925719919594	0.5628362782381191	-0.26675522749797065	Astro
AKT3:ERBB4:MAGED1:RBFOX1:SOX5:TCF4	MAGED1	109169:109159:165482:165498:15291:224428	10.18612850607106	5.166880985084806	5.080399304075997	2.5519044432911295	1.6275069554522938	1.6408040987144934	Astro
CHKA:CKB:OSBPL8:PTDSS2:SIPA1L3:SRPK2	PTDSS2	189606:189626:66776:219961:68698	5.722820576100233	3.246194671738824	2.7953917249878795	-2.2456272062889617	-1.4430268222866305	-2.2125481569686234	Astro
ATF6B:RAB2A	DOCK6	31020	3.708490077242039	3.2228150068153654	1.6194355541919006	Astro
SETD5:SPAG16	SPAG16	218434	3.2323790673108497	1.5531849675578853	1.983407055681188	Astro
BTRC:FAF1:FBXL17:KLC1:MARK3:PJA2:RBFOX1:YWHAE	FARSB	116041:45625:157755:113978:45436:169086:157772	8.4388913974312	4.395328679782052	4.189268949945817	Astro
CUX1:FOXP1:GPM6A:TCF4	CELF2	82646:82665:121145:82844	8.332362175614392	4.350448237279701	4.134565843157374	2.2093280385618184	1.5969243519439644	1.3425068756736915	Astro
CACNB2:NEGR1:NTM:OPCML:RORA	NEGR1	47778:181572:186223:186220	8.400906132076237	4.028741437242707	5.201261780943639	1.3531224786616944	0.38695417156317136	2.4326616874901785	Astro
CLASP2:KLC1:MARK3:NIN:RBFOX1:SRPK2	METTL16	157734:68888:157755:68907:68890	7.842950855821203	4.531272690318137	3.8168507582774387	0.033263759287085394	0.611382289529018	-0.489997428456387	Astro
AKT3:DMTF1:ERBB4:MAGI2:TCF4	DMTF1	109169:92853:15291:109054	9.878783282068817	4.963599447488063	4.935238238077567	2.8332327968697313	1.788415643209123	1.991249797050287	Astro
AGO2:AKT3:ERBB4:GIGYF2:MAGI2:TCF4	TMEM33	109169:15291:11404:11342:109054	9.818214238361785	5.075832617006488	4.880501546140832	2.1564398301921917	1.481951125929328	1.3037039142359534	Astro
AKT3:ERBB4:FOXO3:RBFOX1:SOD2:SREBF2:TCF4	HDHD2	109169:224199:121076:15305:15291:121055	9.973966648197392	5.426876006030727	4.911509671856508	1.5214275655355738	1.4854638642492526	0.7717119189457967	Astro
NMD3:ST3GAL3:ST6GALNAC3:ST8SIA1	TMEM259	226017:225979:225977:183481	4.233567806939375	2.7487085028684617	2.0083627830072275	-1.8471024532109226	-0.8394579227218704	-1.9837895894747375	Astro
