Gene	T.CD8.MAIT	NK.CD160pos	T.CD8.activated	B.naive	NK.FCGR3Apos	T.CD4.fh	T.cell.dividing	B.mature	T.CD8.CTL	T.CD4.reg	T.CD4.naive	T.CD4.conv	Monocyte	NK.dividing	B.T.doublet	DC.2	Macrophage	ILC	T.CD8.gd	DC.1	Plasma.IgM	B.Hypermutation	Plasma.IgG	Platelet	DC.plasmacytoid	Plasmablast	DC.activated	CD34.progenitor	Unknown	Neutrophil
SLC2A3	2.60393360555738	1.25806560681336	1.98615749191057	0.704348760468668	1.41267855272231	2.09192296510133	1.97632245517584	1.52346761590455	1.95999215662901	1.69869169825325	1.58164783449868	2.00858304564315	2.96408138180067	1.4129607378912	1.48578726932814	1.30919021866487	0.581338371527781	1.13655538143669	1.50123596949121	0.351713147643055	0.353811387619472	0.665609914482361	0.393902624069999	2.62763846000769	0.583054813718294	0.416086144806934	0.764982448739924	0.481179089930878	0.296085973902284	0.953855192361377
NECAP1	0.639966607975772	0.464079307298668	0.518241945215232	0.344950207399029	0.412345930611095	0.477888245054328	0.771582335559365	0.4400683307802	0.475768984779244	0.485413698248822	0.491200237120042	0.404249610000748	0.425780932788358	0.619151013278297	0.353306639581219	0.376789298505352	0.241779113665584	0.442315824881367	0.432598727010851	0.408533789018266	0.413741817216031	0.481039715096973	0.41282885276507	0	0.458500864062408	0.400486020114133	0.199521610881355	0.889031409939202	0.336791426740867	0.227093972062392
M6PR	2.26628235223888	1.74319952212326	1.93343041596694	1.28221640863399	1.80757319755116	1.85646868545075	3.77922005098819	1.9802741042085	1.90506086806918	2.13035640415962	1.41892969603719	1.78099384306728	2.35074035079197	2.56191675184786	1.60133386292606	3.78450243102859	2.74911481939842	1.50135697788343	1.86408556759133	4.0362479942496	1.23240836912824	3.18979061754896	1.2437306377815	0.901197728293718	3.12108995476519	2.29039803410164	3.31973395147785	2.45502375134845	0.825930115351581	0.504095322363734
KLRG1	6.14523721417741	0.612354454628675	3.87676784524199	0.13078971717669	1.92505154727238	0.342858718794806	1.76534999111785	0.155081674823737	4.59413922872668	0.340995110590669	0.552474687997334	0.942112999648836	0.212073271177141	1.02042596749129	1.53438207395473	0.296401746544852	0.33164023386968	0.390480233788084	5.37913928151133	0.593412407966785	0.311621671369159	0.441378455695937	0.320405629846119	0.319496462713166	0.134184799720281	0.416322864737625	0.480834189715993	0.742038715624028	0.0794565554264888	0.282247168984388
KLRB1	11.0539984574686	10.3863983925445	3.59326396255386	0.732329642597106	8.50356339252041	5.56982590555114	2.75542170543543	0.666763000883369	2.99181051866494	2.65229729877254	2.12334804502364	4.59438902372101	0.756704094084483	8.30894252218179	4.05037366947352	1.25677326354232	1.37417401996686	7.32757601232362	3.325459141653	1.51674354807928	1.14654402169367	0.842197784366189	1.32396004968844	1.12448061635528	0.681999523363707	1.37478262008832	1.17291179318746	0.608707354478047	1.57671170669659	0.868452215462543
CLEC2D	3.09731152606865	1.54701872940532	4.14074412119185	3.16370058350647	1.9105445012554	4.08453898484528	5.3378529330935	1.99411358956315	4.38781254357175	4.50257589504313	3.64002183547577	3.04183473674692	0.551383141812256	2.03053347036431	3.31812220725691	1.3388806453022	1.32077567323315	1.79785682034114	3.68487363644688	1.39076248121606	1.4130826402443	4.74612486429977	1.43925391832081	1.28795466859222	1.37645718410555	2.54368881237391	2.14838153598824	1.78262056103636	1.80702054325298	0.408904136015365
CLECL1	0.107900192065391	0.0820148750648835	0.196210180722067	0.286532680988284	0.122836844857259	0.165433700412813	0.550499879289374	2.21813880278547	0.228623910245828	0.0856707764340647	0.0555785714173536	0.0971518427032297	0.389068774103789	0.234858308836271	0.635738648664759	1.91080875422877	0.735544907236835	0.292492106320916	0.0388756320653168	1.67492944218893	0.778018551936246	3.3916204528861	0.562967298383601	0.248495488155398	1.42450082374959	1.1768144211526	3.71379818998695	0.308521783297661	0.351194970337436	0.0509034341968808
CD69	6.69506619925341	3.66952020682009	5.3359097262246	1.96125155202783	2.76851431036863	4.6280649611123	2.78050434952616	3.03934009262045	3.95528365089704	2.8532130730243	2.57418988954958	3.6264455968762	0.595003357862039	3.35265219569164	3.56266828326248	1.09851256228648	1.64027366972153	4.13209211113942	3.31062152979064	0.93295497853933	1.08812325717436	1.27085132768179	1.06348584740416	1.66945483197196	1.15714775943456	0.821663261897731	0.829933003791467	2.40159367324496	1.99330574308506	0.829094921195684
KLRF1	1.10727710868978	6.32061723134456	0.74451054104859	0.126183733344842	5.39321763048595	0.111661249200461	0.439718866238934	0.117779070442297	1.42222589129022	0.0916944946942396	0.0582908530373835	0.0903673490194506	0.193704704759208	5.37027596986491	0.314291154329754	0.344671172668652	0.242920793392134	0.302488198047302	1.34053045999123	0.451931239141738	0.138008190635517	0.248648798395552	0.165309633501804	0	0.130377404735191	0.216832587034925	0	0.0797190802183996	0.215773137825404	0.310055876116568
CLEC2B	3.27559156434795	3.09524973401657	3.15145452669446	1.23537070240016	3.24459895211536	1.64845154691488	3.01108288565417	1.02673536729328	3.52256927189378	1.81881726630156	1.28294144287472	1.68347273570583	2.73058787697833	4.31131825304733	1.85579823379196	3.22334841793304	2.77659249329641	2.00468940497658	3.10315479293233	4.91896754993148	1.15580161814735	1.86699490653932	0.876598854163819	0.756765847418443	1.42255743747115	1.75083846317548	0.588864403621367	3.24663648828773	0.736101241790552	0.348094465529957
GABARAPL1	0.83599682756917	1.37399641932675	1.10490622778495	0.0562635099158909	0.862109990115575	0.322018760535709	0.440831412139828	0.0557345640110093	1.18991239013277	0.581654680830614	0.271542754835397	0.344748429141418	0.695534679573471	1.3203230266634	0.343968731202579	0.420792198805659	0.372385152226502	0.775912141549419	1.59649305511499	0.262808341011801	0.206216038903638	0.159382329750804	0.213215872983889	0.364500027973802	0.178154793695512	0.211767868050224	0.177735584735783	0.584960178743169	0.394213940857037	0.463733204789515
KLRD1	3.32491638176106	9.40117607904646	3.66156508203654	0.307510239224445	8.35044876617149	0.245808262435296	1.24893497632079	0.278311824651904	5.11916901363783	0.262934222959763	0.459277739126508	0.385352104223291	0.362692933323047	8.12589143240331	1.75722534354862	0.659869948197132	0.774800735599665	0.848002033709978	9.11856057787838	0.82874774266185	0.560355221544644	0.575776658182886	0.673276180744522	0.352268533837565	0.333969509808212	0.532475706373056	0.41143595508062	0.341183096805336	0.833240989617566	0.155943798018678
KLRC1	0.767369881105075	4.83935704048884	0.497130197960903	0.0457452283834956	1.43155628161323	0.0311711592829398	0.160024290854844	0.0387942286279809	0.654893681891852	0.056527081555887	0.103747082369763	0.0871621425561684	0.0547115402585112	3.39567821520505	0.115527965423986	0.0442392868933906	0.0881253056909392	0.44695059845849	0.305558765746613	0.211312247490705	0.0553964795167886	0.0643750408500404	0.0130604243960051	0.0991599451485937	0.0863792694589481	0.0555935663480491	0	0	0.0683211733920905	0.0586695574166333
MAGOHB	0.614774100135004	0.548010431727818	0.517192547382891	0.453593815184392	0.484269337017197	0.443778541924916	2.20465576652602	0.469386108575153	0.670349769679163	0.681491607441443	0.314104484908405	0.427401382493616	0.472096674591736	2.3019401685365	0.453167212300909	0.870032061977736	0.532129451871736	0.506614581045919	0.591409616156113	1.00469120571516	0.654598257412009	2.74564023563078	0.638626830888067	0.463915960529085	1.60641115303736	2.39786737850648	0.77500342546267	1.32304886154568	0.255713397372124	0.296839215114836
YBX3	0.0985680185605539	0.379327934620084	0.69502409700474	2.93242039635851	0.286860514529707	0.0969224774681168	1.30292038213474	0.462349967691004	0.610143697677468	0.428188443062501	0.458332868552626	0.204370672889409	2.47757783718928	0.582139410900273	1.15050448041949	2.48723853223187	1.15244636910327	0.592539312997352	1.00339074000061	2.36517500375851	0.595672074940352	1.94492140566218	0.834928332713019	1.05868588162074	0.302837224033414	1.12552072808298	0.7496708242147	4.61017024956648	2.4873384468643	0.0530197647932549
PRR4	0.745245784149967	0.695389344774356	0.64487811799518	0.527134100900839	0.598784672198269	0.709574757036921	1.02396766812845	0.693386533726254	0.631041820648136	0.805742530230337	0.68319009754256	0.517111794298763	0.194798640162493	0.85144043955069	0.599105489120918	0.609417725517433	0.162531806554053	0.712456639798295	0.699468364578533	0.641590256832513	0.523517029838289	1.00917969813761	0.496203373197515	0.116234298377554	1.16334860527465	0.606517266208047	0.349845261240821	1.38708684013635	0.216883317358467	0.0626061671624796
SMIM10L1	0.680783320813048	0.76406799651568	0.643971038809174	0.441450700806469	0.685520522351649	0.74364204580192	1.43575436063455	0.491201356422704	0.556259578449558	0.984664624392612	0.559448817220051	0.524720788763635	0.390698973400572	1.24713217454234	0.468793221346238	0.677386659025676	0.343781553422747	0.49200283666781	0.663998695615697	0.986770932882972	0.549901839606066	1.16178633563329	0.577626962483507	0.676964389509739	0.704172223076105	0.720671067888045	0.967692853786632	1.77584029572324	0.480087666442225	0.243521852082639
CDKN1B	1.5809848060114	0.808954151045548	1.23188164468403	0.705523703104798	0.877967721973028	1.21052194023975	2.00958121038535	0.946227147380067	1.2202826513567	1.49275326191955	0.940956179109058	1.14354287911968	0.939507302319907	1.5319947546072	0.832047220218877	1.14858970956235	0.72528932132436	1.03937700392985	1.15010976407435	1.17270575830127	1.15109880623632	1.15661532752204	1.14368211622197	0.423886694568815	0.846502670335909	1.26022297319609	1.22031851813889	1.07778013121095	0.763174095234839	0.397889764993105
ATF7IP	0.946150088945673	1.03648111090567	1.25456622828631	1.51510252721565	0.963168994632187	1.02453276042952	1.48224027098019	1.08905816796018	1.33480929350034	1.03251085644779	0.974629340529342	0.701249530482226	0.659526918522458	1.42827208671293	1.24682870192337	0.940828729726074	0.624869297381012	1.15469451614963	1.04347048707161	1.69683191760765	0.469790543085591	1.43250339475998	0.552578118217401	0.997368870338186	1.27334911979419	0.78408092112402	0.865526228092669	1.10182006810675	0.710094670016113	0.332599368363019
