Gene	Epi.stratified	T.CD4	Epi.suprabasal	Epi.basal	Epi.upper	Dendritic.Cells	T.CD8	Fibroblast	Glands.duct	Mono.macro	NK.T.CD8.Cytotoxic	Endothelia.Lymphatic	Endothelia.vascular.venous	Endothelia.vascular.arterial	B.CD27pos	B.CD27neg	Glands.mucous	Mast.cell	Muscle
ATP5E	9.20684079337593	6.76639162608791	9.20772773804936	8.41566032991736	8.15868946703485	9.62149172920055	6.87734631424252	6.48523565779541	8.19018002104276	9.02848909800713	6.99428299593748	9.49670448890907	8.02558900082942	8.09568240806494	5.93558009127451	5.5690326742027	8.77662436032634	4.37191064201925	8.70203524298211
PRELID3B	2.50407945075012	0.753416549935969	3.04198795768019	2.10532139105078	3.46623248879483	1.01460416100257	0.373014264188511	0.557892847038012	1.55262067256979	0.462453529940629	0.574960330357639	0.778508302179926	0.988941036862114	1.06611909657578	0.724663355854991	0.505856412496263	2.63189755994576	0.665735598304319	2.0270391092087
EDN3	0.321540375940501	0.0664291981931794	0.797739440992057	0.947548273232586	0.0287159806735229	0	0.0104174345728491	0.0138876205236534	0.609539873988493	0.024539170992317	0	0	0.0146860058768291	0	0	0	0	0	0
LSM14B	0.402114334057291	0.0599672807610467	0.450219875229869	0.222762905994092	0.19826648914512	0.0430279144187818	0.0722278190694666	0.294578142986304	0.2804294475452	0.100023458049367	0.139519324254958	0.126267345816204	0.162604616862366	0.284659572380286	0.0533008999729511	0.0955094254718699	0.372600763161634	0.169705204428124	0.107811606301809
PSMA7	7.01116830606149	3.77753407900325	8.61137178646378	7.52704924914331	3.95187755923215	6.25642231045303	3.81243019994452	5.11671895986962	5.87266178059402	4.30883117409648	3.2593362831107	6.1091740373804	6.07898349480106	6.62087782660192	2.92290657809102	2.79898174194679	5.24312060986815	3.04645348634173	7.10832049937097
MTG2	0.323813780225656	0.16483409002243	0.669123800194032	0.368676304270852	0.134611041898045	0.416678204674659	0.168542068669115	0.245290385295858	0.313633604510101	0.220470285143659	0.0436192278590788	0.295090615124413	0.329121398056318	0.340054191659261	0.100751448218897	0.140969002336544	0.604109258890617	0	0.582309616065974
OSBPL2	1.34956430382768	0.278000294972023	0.943315187023864	0.532402491238259	2.1639618282051	0.370052246469131	0.164933673290197	0.347480687338131	0.91398087312476	0.117983249278528	0.220791665473866	0.357299247300921	0.366986615067511	0.384146821962336	0.166946011662245	0.154041752313947	0.704401453134598	0.0851128420572555	0.31055837933201
ADRM1	3.23599133809079	1.1777035333886	4.82437543735563	3.33329767065494	2.93672580563368	2.45038073553619	0.921775618310622	1.46345560199078	3.0043183645189	1.26693785988783	0.833769665834254	2.34998111948588	2.66664637800902	2.42649937770929	0.908422921232794	1.06842281545862	2.38768462428898	0.955756976591767	2.1389697768964
LAMA5	0.253070822112749	0.0708005526761729	0.675998836836373	0.596047701521764	0.0943439815720514	0.0432580896130712	0.0221936994696967	0.0315077805882192	0.961491364821459	0.0507689366037158	0	0.226775290121455	1.64591930456557	0.919112670069526	0.108261493020281	0.0439674430660083	0	0	2.29169860733447
RPS21	9.22499164492162	8.50436014852518	10.1609039165663	10.0287664804839	5.70047466276823	8.40118206259156	7.35432653835645	6.4745414805736	9.76643003861066	6.19787777356768	7.75584865397649	7.15187962205948	8.6320440227205	7.7187651107104	9.36840924021613	8.57641694539718	8.87275826671616	3.16565940296922	8.60335994782401
