Gene	C2_CM	C1_5W	C8_Macrophage	C4_EC	C3_Fibroblast.like.cell	C5_Valvar.cell	C9_B.T.cells	C7_Mast.cell	C6_EP
RPL36AL	6.77634358093198	8.63493868645801	7.36434656367502	7.51177777575724	6.88480731116107	7.28498852684569	7.97680962131555	8.38835678564141	7.49168028063323
RPL37	10.8140073059225	11.2059224530829	11.0331143145907	11.4472774138837	11.1736864810527	11.3785073187665	11.705728661137	11.5851622567107	10.4278100910729
RPL37A	10.7856383141612	10.8755358108194	10.3860278240738	10.8260878233979	10.6350339504979	11.0453224545724	10.872920143132	10.6469176715281	10.2513072461488
RPL38	9.626468006196	10.3419513853272	9.73089652120621	10.0171663036114	9.43167608602131	9.85603942470472	9.63833950047969	9.82913757844711	9.03391210779712
RPL39	9.87653721142829	10.2643483721105	10.1345837248751	10.2179550731309	9.93501011861408	10.4299222670246	10.2713234611227	10.2913944380939	9.58416607828351
RPL39L	2.50480983745088	4.83591776274296	1.70440946687256	2.05152011082821	2.08680232193977	1.86652376660468	1.28629884623229	1.05849058533119	1.60495729163962
RPL3L	0.587201570929081	0.0249188739808751	0.546423123183135	0.0699271291770466	0.12643660959666	0	0.87826897178274	0.139405080771111	0.0860082722365704
RPL4	9.58911552802243	10.2659920478401	9.54633418906876	9.86344027648543	10.0317715242034	9.95190651327292	10.120806054259	9.86216293442594	9.51282465892222
RPL41	11.504416741895	11.6802372491986	11.4873424281441	11.8078803821311	11.720451784869	12.0715410417544	11.9028397078712	11.7842558584535	11.2976989190801
RPL5	10.4522486674975	11.1355597530582	10.0857242622921	10.795345932297	10.6942717591026	10.7984962377838	10.7381830291758	10.7759138163997	10.4825643464037
RPL6	10.0837851489178	10.7194325272984	10.0714510456172	10.6198516553185	10.6561683035502	10.8369882823016	10.6346923719526	9.85638386789089	10.3162217140841
RPL7	11.3194264125655	11.6436047571215	10.7425440535533	11.4622914757497	11.443522366049	11.4503055172717	11.437119204735	11.4958662233354	11.7966595393675
RPL7A	9.19900105941646	10.0910169557194	9.59608717961194	10.0902932712407	9.81769915626414	10.1157281490896	10.1365365211511	9.31786523295298	9.21557487469327
RPL7L1	2.31546753032751	5.24974044889653	1.85048738532416	3.18223019360556	2.93633392188643	2.65917797848526	2.59626395839478	1.94783918608311	3.2242865840088
RPL8	10.8392695855721	11.3434522163158	10.1646065296549	10.8513123192332	10.6190302023298	10.3140996289053	10.975709935445	10.4340674596895	10.68325811375
RPL9	10.4682265192462	10.8346569751261	10.5804251525567	10.8161146511292	10.7116537132655	10.9171496142228	10.7609385115381	10.9389380334262	9.66601123428745
RPLP0	10.1976193497232	10.5566735786638	10.2467831463685	10.5894947494935	10.5788403916473	10.9029175983586	10.6732849364854	10.0544525756617	10.9353727411049
RPLP0P2	0.676382565125863	0.65294992115854	0.779665877825882	0.76813857316919	0.589443664885889	0.848812498854147	0.963992808217664	0.819740907267384	0.304664806729639
RPLP1	11.9572815715168	12.0262149774089	11.9982834789314	11.9698562167627	11.8188993951163	12.0697314600128	12.543907915819	12.0958177866332	11.5966869200194
RPLP2	10.1319168986154	10.6283209988937	10.7660876352633	10.8354921698149	10.6877573055873	10.8991002708626	11.2211233317536	10.6616716291631	10.0917236601926
RPN1	2.33810318248715	4.84835091892297	3.7515460053883	4.71686480299288	3.8778459791658	3.49499103772938	3.22859769774231	4.44193577365242	4.24750830385325
RPN2	4.12085922122164	7.33707044719554	5.68561195111664	7.21260402245002	6.6049586869511	6.289959135595	5.50489137668691	6.0310717167799	6.69652930415055
RPP14	1.86391248657582	4.08091449590249	1.57738305181547	1.88141344124626	1.81198445036843	1.56852896627754	1.31603549235882	0.856212248732346	1.91297773222167
RPP25	0.448428754180682	1.60417870597071	1.04110059113202	0.393944696282344	1.4565364807024	0.850682339406387	0.630243639830112	0.814523942253467	0.637322501218931
RPP25L	2.35304566626454	4.68455803737488	1.39271302034053	1.97163964895836	1.32035473681564	0.975196125390886	0.808376106794053	1.0626373596471	0.870815515146083
RPP30	2.27208192768616	4.45994101112	2.38175643061292	2.78277328835302	2.55436924852705	2.20268018144862	1.8954275903593	1.43974563177951	2.34350236163657
RPP38	0.998200556019571	2.49880794499486	1.10461403072771	1.52277724152048	1.19170557071277	1.13745269543678	0.995986189967062	0.493777688852525	1.74046230873555
RPP40	0.564597284787463	1.86355756729845	0.517746007575356	1.13337517531839	0.77321585318318	0.777379155576407	0.817166682103009	0	0.0314471403703753
RPPH1	0.306689169830309	0.551918269075243	1.16644985758751	0.858350402387384	0.413221228740075	1.19035228167613	0.177673495436445	0.359486300958241	0.231544632397126
RPRD1A	1.83381335342053	3.12795891451142	1.61535443975223	2.75517212793966	1.8432118280588	2.65263318152689	1.78953816007603	2.18960404602807	1.80890090951477
RPRD1B	1.21225960136061	1.44916830982556	0.998105553318356	1.0041082904105	0.863990159536594	0.832936035310666	0.705616765532197	1.33036325410253	1.90314435640682
RPRD2	1.13994629192561	1.41363223924813	1.40426562592018	1.3294428739391	1.28514120576374	1.37506522265419	1.32570751084712	1.47433777011108	1.10101167226502
RPS10	6.181211085899	6.99305701598723	6.68592056756596	6.63136810544452	6.23332607422103	6.85706215523018	6.91104292176913	7.02093313636035	4.93672269707039
RPS11	9.51137744289776	9.99681044820042	10.2076944365614	10.2068983544444	10.2969097815751	10.5317344693098	10.3476902941523	10.2068784032612	9.66072291686888
RPS12	9.76050636911207	10.2473966509211	10.2138209498699	10.3134726828797	10.1234833424919	10.8227910972621	10.7862572939564	10.0182317958207	9.82990571893436
RPS13	10.3170948994102	10.5532538246228	10.5123097062833	10.602514716491	10.6170169344707	10.7101883970629	10.4779297973311	10.3734601878008	9.52211360613377
RPS14	11.3348380623044	11.416129258314	11.5198144364561	11.8517461188886	11.5435935525622	11.645810224539	12.0237464923186	11.8410117640446	11.73134855065
RPS14P3	0.632038226193069	0.961688639759329	0.851619005845526	1.00871384710627	0.776230316064908	0.916197060974315	0.76569111853386	1.01265687180026	0.542549982854485
RPS15	10.4418684997788	10.9191619325624	10.3556096442557	10.9929630863176	10.7421869907768	10.789080049381	10.7478010335783	10.780717439388	9.98968738531476
RPS15A	9.1699108277248	9.82960611854759	9.4210085787294	9.89566064965946	9.6453297369776	10.084992165115	10.3578384595874	10.1193164615166	8.53393761570576
RPS15AP10	0.51491447745305	0.327568972427223	0.8299205896498	0.586101252481756	0.334250195139047	0.508174470030079	0.268531761522309	1.28664468857861	0.531045081502076
RPS16	9.70152222374031	10.0921316159507	9.90183635856426	9.98658996326098	9.82257632418102	9.88446974995025	10.3473115749946	9.5840111245231	9.74508778169526
RPS18	10.1995221903702	10.909426010282	10.3144320451769	11.1415189649008	10.747575386228	10.853866650626	11.3885483637657	10.3605575163595	11.0382221121945
RPS18P9	4.67502328182666	5.69344408216169	5.17507168033161	5.7951935876506	5.3696343007144	6.11487662642439	5.82733395058819	5.41238082165536	4.127986051822
RPS19	10.6392037529254	11.3273107758233	11.1438806702302	11.4579168063806	11.1380177565697	11.3636313786633	11.7301347338981	10.8411477364269	11.2312422762202
RPS19BP1	4.12824324193406	6.53875387568991	3.9151966146825	5.10509465025091	4.57090285773227	3.91893876422354	4.83518972574381	3.96380835301159	3.92739639635486
RPS2	9.42579557922508	9.67386056072672	9.98530890206477	9.96785812913989	9.17888461987362	9.7355653609238	10.0512236739092	9.19249572793477	8.98816607711735
RPS20	9.71003164289162	10.1631787436046	9.87696753429248	10.1169439389705	9.78071111483293	10.2918810516119	9.97802866457297	10.7579426486355	10.0146970769812
RPS21	7.85906186393488	9.22924697799951	9.06209729944806	9.3430502532295	8.65071154738341	9.18411758100746	9.6252805006744	8.9930992198957	8.08000775640712
RPS23	10.3667022702885	10.8039735091961	10.5349247876294	10.7539073421782	10.559213307852	11.0089419156914	10.714001187384	10.6707211728032	10.0664819458168
RPS24	10.3764987013854	10.8383166774721	10.5816920369129	10.6877831358221	10.468226747727	10.7317088489248	11.0331557692459	10.7931407732477	10.2227570481772
RPS25	8.79730903457589	9.57747893723693	8.94672268774522	9.53852885076897	9.33625798240071	9.56021478203879	9.67949434723119	9.46620247703635	9.53247023867386
RPS26	8.8720646264731	9.70872683636738	8.43224386092343	9.657178885283	8.84121348567811	9.02776936093491	9.60958225205761	9.79340613132213	8.68607221912119
RPS26P11	0.228314627292045	0.368676862207898	0.268245137174294	0.618524477282704	0.166025653814798	0.198578199081733	0.516301163919346	0.314225415224437	0.311815156201015
RPS27	11.1781106154126	11.0562397083184	11.4580284885755	11.6257515438831	11.5557954280092	12.0057127237704	12.3036700445543	12.0953474693054	11.6175605605739
RPS27A	10.0499914964682	10.5846361610418	10.2801955893014	10.5543453108788	10.5216181500577	10.90172275995	10.9474993100879	10.7234301410251	10.049233012121
RPS27L	5.52700031528856	7.82490526803121	5.36810141394378	6.86023352037957	5.74066635172876	6.50920516367203	5.00545510554121	5.45660100973885	6.46504050047156
RPS28	9.06746399017239	9.54454559564194	9.72005651013446	9.74988314588244	9.25198781623928	9.73087713866046	9.95575320429049	9.26768534876997	8.69791912379479
RPS29	10.1101291754009	10.467208449046	10.4511449251874	10.4930852104231	10.2833622562036	10.4423015736877	10.925855153756	10.6538440964478	9.73127348543543
RPS2P32	0.405343475289787	0.79054073017059	0.333931179298512	0.261545434876992	0.233787980600195	0.493068889306003	0.424874564873366	1.44319467442657	0.13009654497933
RPS3	10.4837297301626	10.9743883238967	10.5313993246696	11.1092197035884	10.625164525455	10.7453080969777	11.2096929312342	10.8147715127907	10.4617371187557
RPS3A	11.1930437071199	11.4059921720821	11.0637381266576	11.2789090292723	11.2890632112128	11.4551336061868	11.6381563097857	11.134657029331	11.0376183668905
RPS4X	9.95613376831487	10.4075785029356	10.0280873547163	10.3883464770603	10.148816083906	10.5249039805478	10.5977899799128	10.6548769891323	9.81693825793905
RPS4Y1	2.27602529103398	0.312617845004678	3.38478303527438	3.20753070544571	3.01205315087624	4.98252647040635	2.65439067712772	2.32971440079069	4.76079548942988
RPS5	8.83725701560527	9.80913394327041	9.1012465177569	9.74826346872442	9.59824222517998	9.95018515872757	9.78857583072778	8.99218742580619	8.79422410275622
RPS6	10.6137640494934	11.0485099653274	10.6984539773586	11.2974895561363	10.8258538268598	11.2750748500846	11.3188167793431	11.1048444050574	10.7471405148897
RPS6KA1	0.357331033105418	0.57793009331164	2.92162870527395	0.485400248431271	0.270584250324114	0.279597091067112	1.38834592801421	1.40269412559346	0.336122244940826
RPS6KA2	1.63330406103697	1.71294006042672	1.1313887079004	2.35732531916824	0.981711337340213	0.894549008994774	0.908947537533452	0.609337334244495	1.02444804915795
RPS6KA3	1.65434146848022	1.05823307041904	3.22235612093001	2.13881891887563	1.54308818512752	1.98235778913752	2.19497734833318	2.72363656595464	2.01789258352685
RPS6KA4	0.501560439732846	0.251789708176693	1.76741559701465	0.708925354311997	0.534769469523628	0.622253569937091	0.436160414728401	0.774018905041292	0.517918672707687
RPS6KA5	0.838017214356729	0.37604361047048	0.995542037176341	0.793374665767669	0.786607029323769	1.1102110236561	0.898725253325821	1.66253708392846	0.376465584782969
RPS6KA6	0.425880389514915	0.0697146113395362	0.361140334090952	0.378160414281899	0.281867708778591	0.479160031724087	0.164494631903006	0.367672479475953	0.57116385069339
RPS6KB1	1.03410070277646	2.11946201491783	1.25964229242219	1.8771310136218	1.64160515072693	1.70108700559558	1.60295954627774	0.438850631498933	1.33889201948033
RPS6KB2	1.54015195431221	4.04182568327494	1.77299011532874	2.09879214928749	1.7097419761302	1.5267065994411	2.35311294687746	2.02258648770921	2.10859771158098
RPS6KC1	0.630697211980164	1.18808292774369	0.991560438566421	0.721036186995263	0.840050898173461	1.35225753845639	0.400190604863089	0.838461740515359	1.0198350716212
RPS7	9.64978908150624	10.5551275384508	9.50496363597364	10.5212906741697	9.9732438003681	9.96877001617602	10.0212122736453	10.2691454928949	8.72887139236661
RPS8	9.83794494332041	10.2136207347581	10.1393213386306	10.516350829814	10.2699182106997	10.4004819940566	10.2151412565636	10.0412222455001	10.3357602530775
RPS9	8.69659388451513	9.65212376532379	9.54706295948331	9.55530414442601	9.15611403053134	9.37348752917907	9.63243367484828	9.55384303145345	8.74261228678202
RPSA	8.09915418227296	9.43534986633175	7.9703945373763	8.81785897101882	8.33737855935771	8.81477057188819	9.19873815348554	8.01051600705801	8.31655148626657
RPSAP58	1.060526831468	1.79679799541656	1.02579123626369	1.3914975981641	0.973244829888764	1.3313754618016	0.854263326369002	1.59419283025132	1.15582416680261
RPSAP9	3.82842439039967	4.99095885768346	3.87450794187875	4.5946574023009	4.00451681662892	4.70688925237667	4.65180974331795	3.71556411203799	3.74928770521484
RPTOR	0.401818386662201	0.484134932922988	0.47378217006353	0.332094583242301	0.315331221119507	0.300278046271083	0.166148110083829	0	0.481411925938366
RPUSD1	0.373080208288487	1.29659368656213	0.602476221436583	0.681246767009272	0.374621680039528	0.516987268439392	0.231379391957064	0.490809413114802	0.364167706929655
