gene	alpha	endothelial	delta	beta	duct	acinar	pp	mesenchymal
BYSL	0.776391275726755	2.17346589472825	0.519062906926596	0.674617044929266	1.20960203809352	1.52071594010972	0.167091385683061	2.5044220667843
BZRAP1	1.50609440184614	0	1.95446837983417	1.80174721090827	0.685592242768752	0.237237321903684	1.41918710785766	0.0599870245566145
BZW1	6.1918052703325	7.65480464733768	5.80152729525236	6.07218868924936	7.48651237200521	7.26564896300823	5.20740164663166	8.26272744740089
BZW2	0.541403873464008	2.92608529613409	0.423448830449495	0.840037858620616	2.18414933041516	2.77370170387302	1.32594241362162	2.7043690938841
C10orf107	0.708385936986251	0	0.608336844905631	0.342206843151153	0.270104156202405	0.0362010674596001	1.0495732263317	0.316673907403889
C10orf10	7.49385540313542	1.54510364712901	5.15394176260201	5.57526710652856	4.27661476441891	6.04060895257417	7.40133190164421	1.70365628130418
C10orf118	5.214497894897	2.9290770483034	4.6458167194976	5.6140901476492	5.92707090574465	5.42528509353536	4.89937581267195	2.38050036281753
C10orf11	0.43555101803838	1.53354791778266	1.60411317861379	0.900129521496697	1.98939015342244	2.28188566478346	1.28945841193847	0.47686787575752
C10orf12	1.05828682914875	0.306743423952677	1.03181668765339	1.35637023195265	1.80358258438173	1.88339449530447	1.04981884587835	2.0061283365173
C10orf137	2.1057872906046	1.7438925866029	2.4449661210143	2.27446920572238	2.35101723841471	3.57134771834544	1.48450963729618	3.23967995883873
C10orf2	0.145174931839492	0.914354277081958	0.116302212755039	0.332331212244477	0.617614460799152	0.555545199478068	0.131708058153342	0.991432251948034
C10orf32	5.20388700301727	3.84963724706635	5.76585773943686	5.27722375323239	4.86902317789637	5.13786696496672	5.71127739816676	5.26392806779699
C10orf35	1.41521607122675	1.2070771697068	1.52237253024195	1.90075249115429	2.02886271215419	1.48475008953449	0.900108989067281	0.127228835692969
C10orf68	0.565506956283935	0	0.641133449275342	0.754354467246415	0.3382258216008	0.0925143146199712	0.316948333975867	0.242228208397708
C10orf76	1.11335510140072	1.0188175621374	0.936902208759357	1.16598840910349	1.61599889721996	1.41985527432532	1.02063858106405	1.3191108292849
C10orf88	1.61475001261431	0.583159850254038	1.42496138978673	1.46756957137565	1.38188751567971	1.44629185280906	0.981461864388742	1.84094735767473
C11orf1	3.30270585861592	0.592438930431683	2.90782714761554	4.55009191399618	2.44380095349807	3.94709557942089	2.60496723394301	2.16053013801153
C11orf24	1.68390905924379	1.41612214795143	1.38005469220831	1.00068180181326	1.95437344114237	2.39601162368207	1.1497332801986	4.99460794552466
C11orf30	1.77948942418205	1.53280842685728	1.65937330542523	1.69389956426551	2.20345178814233	2.05225287619572	1.43873546648605	2.87246573793868
C11orf31	5.77096666665394	7.47244203589123	5.67968587118981	5.55542693971487	5.85326879690247	6.16754191222878	5.47320969473747	6.67428747685927
C11orf48	3.14228924179465	2.86148861937776	2.516746545514	2.71778607461457	3.46244385191142	3.7395742882876	2.23181256640698	3.9537561467512
C11orf49	2.65832809595523	1.64651007145898	3.29401173842047	2.77574603826177	2.57817604556125	2.32477283676784	2.17234072716133	2.80733973131977
C11orf54	2.59296668924236	2.07230312123823	2.21856989963452	2.97173529455024	4.067761378112	3.66509558615197	1.9083717537722	2.36405970063289
C11orf57	2.33029113135583	1.09442733092245	2.09324445599717	2.56492437395134	3.64005626130669	3.33676787834281	2.17077160032251	4.54193108162992
C11orf58	7.4580320917494	8.25768797809388	7.52216845538338	7.50954254719802	7.593503110493	7.18299304263589	7.59370100916607	7.88938440477207
C11orf63	0.338097212345326	0.510680673204493	0.933464272380858	0.867092189516279	1.07206440241448	0.609954625486202	0.737146629804745	1.1383446983015
C11orf68	2.01597205084428	2.14097282824328	1.38296363024375	2.58796752307641	2.56107564741461	2.03631695924323	1.81398311268496	4.6578768058822
C11orf70	1.96494132408357	0.843484007890112	1.39696499671267	0.765240509473038	1.2849322865353	0.824927707708998	1.60651690130444	1.41764867624622
C11orf71	2.344016321602	0.733066157470645	1.86669046481554	2.80507801632465	1.33888200765545	1.26683368920473	1.62267872213797	0.545629477380162
C11orf73	2.1857895823157	1.57432893122892	2.33565107021704	2.31425636745448	1.92563337943227	1.98722421465197	1.25930694537968	3.55358580289121
C11orf74	0.880228743866064	1.18657301443036	0.754603540251006	1.08900849135731	1.16060310936897	1.59618820053937	0.659922009537912	1.24067530067574
C11orf75	3.99970244641924	2.17041052735835	1.63579568228263	4.56373550217391	3.60147461622886	4.5848757376582	3.65956299744037	2.44235008052153
C11orf80	0.369224182656992	0	0.257540595256229	0.313527617527663	0.539303094687348	0.312794030777122	0.13469727416841	0.0599870245566145
C11orf83	0.778170449687732	0.342563211630742	0.83203537978098	0.87231394357275	0.96044139485555	1.11543572330308	0.927349861145138	0.788078903210553
C11orf84	1.8383057262789	3.93684514180168	1.54835283936849	1.74356491908596	1.9263812353434	1.05899517558876	0.70666553787136	2.61502286070068
C11orf91	0.0946669098883053	2.0481545085216	0.121029612574484	0.141981355000442	1.52497747925936	0.565608185097124	0	2.38790657465973
C11orf92	0.43788708658083	0	0.135847910047368	0.367132291295966	1.39139981385144	2.0281053670085	0.45485933036118	0.314483764596306
C11orf93	1.93175747961091	0	0.426388906867587	0.759523121560703	1.6073790591117	2.61171673106054	1.45782356398871	0.546573824627777
C11orf95	1.8434597611617	6.19984677917087	1.39187399647835	2.43338489499967	1.34946861687286	1.66093892978496	1.41138042548482	3.21040403685362
C11orf96	0.229337490338689	1.540462549547	0.655727328315414	0.157252587251859	0.516588245588163	1.80216919417437	1.52533262597834	8.24787323662409
C12orf10	0.765959944471715	0.828071583608968	0.830980798682038	1.03383945432023	0.579232249798912	0.823715306303999	0.32520422357562	1.26007574828299
C12orf23	5.63445273099944	2.88499559994372	5.97141941941198	5.87768878768238	4.31510010371321	5.51476793509541	5.36286779249851	7.08190531658485
C12orf29	1.80569869636527	2.52095790441519	1.83438806288932	2.49422547725557	2.30314148388623	2.84821409517612	1.25830114760016	3.55397006815604
C12orf43	1.12263403575684	2.08091629045258	0.963282873115543	1.28328148845823	1.8542699191082	1.63031058321868	0.706404349747766	1.59999332018581
C12orf44	2.05870438403888	3.1468698284653	1.84780671190092	2.46507989232958	2.95157021623829	2.80159723478147	0.813815369616358	5.27603540552541
C12orf45	1.50754698842622	1.08090002198569	1.89205079016196	1.78487871169305	2.25240990768677	4.35653543617385	0.997484185033454	3.63150505119666
C12orf49	0.706639390681353	1.13511601119411	0.631874298105092	1.22295985814009	3.25669452705371	2.78916893287106	0.265563056557171	1.8228243205361
C12orf4	1.58020782681508	0.665277336501372	1.74402896347006	2.02563660620663	2.38553048760957	1.60312974564772	1.3176402230719	2.78529372356948
C12orf52	2.30425267149349	1.47628035062889	1.91696122933053	2.04072477424954	2.25515810967805	2.42421531266204	1.37695116423734	3.24415094064023
C12orf57	0.711294797307849	1.06270828507577	0.719965700490582	0.876125676992974	0.441143090099473	0.878775833047499	0.652951415954882	1.49401722873273
C12orf5	2.70281199974421	3.9351449782379	2.78919534316169	2.969928165113	3.42335787428657	3.32604913487626	2.46480716695254	4.93497411240258
C12orf60	0.407859915822263	0.520342455989467	0.473849000856548	0.722702728960492	0.21377682930204	0.248679502658723	0.181062439845184	0.134125230351601
C12orf65	3.99881856526159	2.06431143768638	3.98588592358752	3.86898328315819	3.70167489520895	3.34146317773888	3.93827552845202	3.20273756429548
C12orf66	0.461910272838671	0	0.528343246139115	0.419200048572067	0.446418898222638	0.683918670272525	0.244998927462594	0.334243284038468
C12orf68	2.50596415692628	0.837779016538037	2.16036119651709	0.82291037889623	0.159863093447695	0.0470235578742813	0.879483116519207	1.85949955420373
C12orf73	2.15847543061687	0.299535005838686	1.39421243121087	2.33514395041064	1.42121306078956	1.35087742225598	1.37477119227305	1.53769959684163
C12orf75	7.84929355654827	1.20828860595342	2.63030961019754	6.72611584190386	7.51217574816854	4.94748263394138	6.14322099752751	3.62479989796625
C12orf76	2.93604017146761	1.16819525766587	2.76022403709855	3.68072374281651	1.54132592313069	1.21253517975678	2.07733701445328	1.08547091017893
C14orf101	4.82195424127977	1.34132253893088	2.45787908406046	2.30441595480698	2.93131876127512	3.19082289523973	1.3642092143098	1.98038738091906
C14orf105	1.22509700875148	0.252533472601053	0.821979981996573	0.897880568344225	3.3087202035362	1.92426319028373	2.92105853106417	0.497163601048881
C14orf119	3.64357657820903	4.49027119287583	3.80568239983241	4.21673024429586	5.51005150057652	5.05228324844616	3.31041269121682	6.19867075977411
C14orf132	4.98849829215542	4.5073631976611	6.87737775969097	7.24333291797003	1.56590271397026	0.584659906215299	4.12909422101667	4.2048586703232
C14orf142	2.37604330371464	2.64580933205531	2.70628708694436	2.0226579261113	2.27021935827324	1.99586687437601	1.92389580538882	2.61535583847498
C14orf159	1.25823821389418	3.57354896222697	1.76217992711961	2.12423162017639	5.15371925047236	2.8620569969266	0.799963536520711	3.99177491779788
C14orf166	4.70907845734129	6.14559789742673	4.6420846414819	5.09342802716398	5.14581629107622	5.94516075998039	3.16713861229808	6.76054514277179
C14orf169	1.04052601771744	1.26045607646347	0.777277183074028	1.16853091450037	1.59692575755282	1.47815545297088	1.17447445701836	1.78799041870557
C14orf1	4.11124544531945	2.35071984698448	3.57189310802274	3.37506229765703	4.85667247730909	4.51938098442178	3.37552181583945	2.04404023862708
C14orf28	0.637027799812819	1.22944672127578	0.657358503937437	0.894443844598963	0.89666563964844	0.999240209915538	0.639945529101256	1.02510263755239
C14orf2	7.07696268549962	5.48868751355821	6.62583932046989	6.29887012492214	6.35093097977267	6.41111170905065	6.3231262299697	6.44548344944658
C14orf37	0.791755322559715	0.578108393125337	0.515864405898988	0.668405394300497	0.693073526854311	0.40348322393289	0.452915164756876	2.06508567455087
C14orf79	0.646328239291543	0.336490645498238	0.555059641166543	0.52224754713268	0.502440855525676	0.329110903329163	0.460318221612008	0.478247814742528
C14orf93	1.14630584188723	0.796805679219776	1.16825018260725	1.33240828473873	1.05381908800392	1.1169052847334	0.58492468903052	0.556976755751218
C15orf37	0.550841324467334	0.664425263847056	0.233535350646892	0.353857725857334	0.490635393382814	0.331451885250224	0.439206882694402	0.863596248176549
C15orf38	0.674105549871195	0.842617355016118	0.324349126985911	0.50242954674325	0.823455766756024	1.8406439519439	1.04700891002318	0.618339797409357
C15orf39	1.09585805480275	3.8341909609875	2.18073623886052	2.07221628571494	2.49342705779705	2.4219156540397	0.696432006738912	3.30731896531562
C15orf40	1.8640196091565	1.75071654180988	1.82976119447886	2.28809048114498	1.87928984642478	1.83419944119822	1.86000663633776	2.35184578985578
C15orf41	0.73200585823259	1.85588372086645	0.878444607684684	0.755502350612264	0.888690461220532	0.479491376733831	0.538896873976529	1.15080231461993
C15orf48	5.45723000658659	0.241901542852366	2.90591336171479	2.77252482130258	3.34208941701044	9.49512654789206	5.33008443430969	0.68555344488584
C15orf52	0.108763090109722	1.16283131106313	0.555929744432189	0.153508379255809	2.2638720125531	0.059331996058979	0.58760818086877	0.59704684803812
C15orf57	1.3214196302907	2.55668899753327	1.92280800271553	2.50560951123545	2.40941584627779	2.27169993210516	0.987049666977968	2.70990394752932
C15orf59	0.603129801780379	0	0.739117353914987	1.34967695127862	0.0437782134386062	0.0430245378485543	0.193191447679379	0.311168877354397
C15orf61	3.84796129561748	1.69923256148286	3.70499592696973	5.34576712566338	2.62897488933931	2.8832525314763	3.93855996241216	3.31221985480272
C16orf13	0.397180165097491	0	0.593771505782633	0.632653891938207	0.610247071280487	0.559677401695982	0.400380557528326	0.273546537152276
C16orf45	5.4662474668571	5.23179063937213	5.55382030428584	4.3938790950258	3.09048767237096	4.60738605745397	7.24883629248676	6.95304304706783
C16orf46	0.213703121001208	0.821104146488217	0.482291249303863	0.38766945565762	0.366319300478389	0.343203989840713	0.26537945630731	1.19274422315522
C16orf52	1.65394087715908	1.48659175621891	1.83870298928263	2.61872558136435	2.22837504545105	2.04130473568505	1.87979653907778	3.93986169349234
C16orf55	0.805021690685373	0.241901542852366	0.773226293272403	0.476953172735342	0.753298827267509	0.588393553872976	0.786376741570604	0.831834686408043
C16orf58	4.79944817589874	2.6869424850841	4.40838566391021	4.59450567952997	4.20246109906418	4.84757663787757	3.71262074775755	5.12110149926354
C16orf62	2.62426864399144	2.62403446663046	2.2645205601614	2.23757471948271	2.88134809483537	2.65145843018557	2.55314646705786	3.46988838252879
C16orf70	0.33753055583479	0.330626377652985	0.328589278923484	0.601129348101973	0.508986556020952	0.250761692802915	0.18804592575715	1.41865709074312
C16orf72	4.14131313528539	4.25830554309568	5.08750524280044	5.79507905989218	4.7945805325539	4.41144089706373	2.97165424240211	6.86712229633315
C16orf80	4.6637609803231	5.53664200645018	4.88557213966692	5.40468790131322	4.41380912035285	3.28170803987764	4.20373569333082	4.89734736400323
C16orf87	1.04700127711656	1.15401627925929	1.08522434380038	1.21802483762263	1.16451594987576	1.22874616807389	1.05870316539795	1.18544532093198
C16orf88	1.45067091837427	2.81828576910975	1.65868684877877	1.5450759320171	3.78671138693787	3.46284375465578	1.41079700907264	3.00468232969569
C16orf91	1.30060758885822	1.17301794377726	1.42492925382382	1.68310602481131	2.20760021174849	1.51471742938208	0.743460733051619	2.73602356495448
C16orf95	0.386287859728216	0	0.238731358559981	0.425541987409214	0.390152452731325	0.462866571877354	0.125568704916252	1.0154863929935
C17orf100	1.43858811244219	0.86677402600436	1.19755593479077	1.77668311578458	0.610332425226646	0.796635635230542	1.38719642134202	1.00434766016938
C17orf103	0.634835898436117	1.77401695072563	0.529152814600591	0.795307350652284	1.8780362871874	1.82458564882824	0.466542724271503	1.00473072502861
C17orf51	1.7615731058898	1.18176259574509	2.01014408987243	1.99390140316415	1.10521457800685	1.34399619510438	1.25053314362709	3.90153305665335
C17orf58	2.69418731618784	2.74900838912002	3.29618277807399	2.11050581430316	2.70790003202441	3.20368527816719	2.06588293393558	3.53162062589571
C17orf59	0.532951606416776	1.15970050459191	0.766600683273226	0.808128387824741	0.890605981589107	1.05769958945852	0.237928131348106	1.50595171500713
C17orf62	0.715908535420798	1.72161171125493	0.724491314677176	0.695093177200232	1.10827986019006	1.2002598316104	0.383485812124006	1.73117580675642
C17orf67	0.184585381987537	1.47659716481334	0.378588035126539	0.453385584005233	0.675056784520291	0.621667972635174	0.162930919562775	0.531358332332861
C17orf75	3.73826204487623	1.52308679884631	3.85324245853344	3.76872464520369	3.30717595682145	3.04987794291966	3.61499273331875	2.7090601876647
C17orf76-AS1	7.27639678524655	5.62786769139197	6.87528212548607	7.51556562420338	7.15398604347123	7.94885437248326	6.71437620388538	7.88210587237698
C17orf80	2.21856036101668	2.3141334069791	2.88196149251541	2.92382419496991	1.92524953262116	2.0826582801048	2.78172080833468	2.57759111578854
C17orf85	3.52475923791089	3.78761592772127	3.06674026058981	3.33639444660304	4.05235244980217	3.76852040540497	3.22141880129623	4.60767681701095
C17orf89	4.75203156498388	2.95803102979972	4.34748182458452	4.49750107577996	3.25279613757661	4.22788716415568	3.66858661805003	4.51588306520199
C17orf96	0.0821418675950214	0.609973542349803	0	0.0826492183732357	0.271821856751889	1.44702488561733	0.113273050790788	0.556061023327547
C17orf97	0.722659579647546	0	1.28855587549908	0.888750198175675	1.77847462100538	0.991357351085681	0.535883231194039	1.2537615323575
C18orf21	1.19098277851342	2.0181493381854	1.50047637299756	1.47688701968955	1.91334693653716	2.2341074227633	1.22331854680434	3.34310244431592
C18orf25	2.01431618748157	3.03741661174895	2.09254863770888	2.63303578180622	2.67384133944359	1.70114383039446	0.99949339348127	3.17379607238245
C18orf42	2.33883385869288	0	0.130499114675899	2.04618206197477	0.0579460814264337	0.0338856864538481	1.36134556132652	0
C18orf54	0.257869469236861	1.8669675083023	0.182582363239902	0.261199241247024	0.25389785173692	0.331115135715877	0.0592161546326675	1.02270743616222
C18orf61	0.673685127578077	0.575121787515463	0.317247465571426	0.478971877789675	0.377398063392362	0.791409880548295	0.681679962854867	0.831954696563903
C18orf8	1.36905224863336	1.9599957622819	1.32274333807286	1.50912519965873	1.40923849726832	1.76617252699585	0.64984281051206	2.06045895568337
C19orf10	5.73842187260373	6.23693405950566	5.42937804164883	5.58654242038352	5.77768553640591	6.51762618752087	3.63698209581658	7.37788196187045
C19orf12	2.27765305601356	2.31010198575283	2.06016725396726	2.53776827664373	2.70774587631801	3.11539946155244	1.0201434487796	4.49072268457168
C19orf21	1.93774433658158	0	0.916248672418808	0.693168727126331	2.06950788374691	0.878957651231796	0.856203726655185	0.0588501627225527
C19orf24	0.686764833961471	0.831625393481361	0.699075577143357	0.647002563231461	0.687571941156511	1.01503979042087	0.253901752828722	0.613827221946403
C19orf25	0.822461425161116	0.285309470687561	1.10277439549213	0.861125424525861	1.16600809989741	1.05725503582905	0.711281077576571	1.2370059570423
C19orf40	0.586738242355948	1.1762369457945	0.133858338956181	0.335967986009714	0.568078343425533	0.772361197419997	0.835977634997656	0.541758687305228
