Gene	Central_venous_LSECs	Cholangiocytes	Noninflammatory_Macrophages	CD3_alphabetaT	Inflammatory_macrophages	NK_like_cells	T_cells_1	Hep_5	Portal_endothelial_cells	T_cells_2	Periportal_LSECs	Hep_6	Mature_B_cells	Stellate_cells	Antibody_secreting_B_cells	Erthyroid_cells	Hep_2	Hep_3	Hep_1	Hep_4
MTSS1	2.19401726468135	0.948574708681453	4.17218559894953	0.210265523471049	1.94819677313989	0.130952383772808	0.957384654042748	2.14040129383996	1.15486297656056	0.524938756286848	1.5393164787047	0.69800908653218	1.22317666431256	0.717834603383661	0.149009163624331	0.0817086165948025	1.79317241342007	0.588700989938167	1.87046306827589	1.21044303204756
SQLE	0.337017355322492	1.00985644490978	0.179443021285314	0.122395848346935	0.260257344838252	0.195259472025653	0.167250905233206	3.19209979998096	0.201992901362546	0.119666632738134	0.214848464151374	0.0563717441992626	0.400771378151617	0.615764253196626	1.04986751122583	0.31640513722944	0.34340790815277	4.61145554350077	0.260599183609209	0.248652247653579
NSMCE2	0.60322039941294	0.932846530205709	0.57898666362142	0.560322878827815	0.546585695956205	0.6870897723789	0.322873460769298	0.319176090104963	0.990468420594447	1.23615848637087	0.754124275054308	0.274517063407552	0.254414088570681	0.33983700970007	0.63405139046589	0.390071225850216	0.312045530016613	0.15652516834796	0.408910467877345	0.0652366081441647
TRIB1	0.254245159248003	0.78821692732622	1.67962891600622	0.114690438903056	1.31495595634134	0.03414304719977	0.0192312844130982	1.74025012534004	0.501271420767414	0	0.262150197844129	0.27307800110691	0	0.237230080868456	1.68463170011515	0.124367338829082	3.04597053199862	0.435006643097218	2.42044952802651	2.27056269243584
LINC00861	0.0507153486309457	0.0603778261536284	0.111432793117986	1.84306518118589	0.0338692006013411	2.01089666994745	1.94884431387325	0.13532602170555	0.0316585147906705	3.02214499934928	0.111713076644405	0	0	0	0.0404970068506883	0.169291473261754	0.00709795063545532	0.0382189136746934	0	0
FAM84B	0.634397260522982	0.835640206195326	0.395388414214031	0.163072894168823	0.0201579036932832	0.0841220479814369	0.120525866996764	0.736589002798978	3.71704804296227	0.0635016243110677	1.31915950610411	0.0418090643187393	0	0.389317648090628	0.044710384010805	0.0729233966214322	0.76775410779068	0.18081592060142	0.532823203858337	0.307566303072287
MYC	1.60781138849438	1.05572912906284	1.07140509850619	0.765676312405529	0.754877368421409	0.65248390317763	0.0940592090246931	0.808908496619511	3.60645904189513	0.44392293948705	2.97843165265251	0.391343826206712	1.26394642669996	2.46334271582922	0.667022968697009	0.325536418118118	0.68045146843469	0.0676943761448249	0.664274406614605	0.449377289943044
FAM49B	0.669557663815433	1.28285768712756	3.59424247332891	3.32328561377887	3.61474748368843	5.05914540852181	4.45883288402494	0.812046845984988	0.999587563657122	5.25119418769334	0.497574028336036	0.0950616018233147	1.62074229995765	1.20395845324361	1.5073683220637	0.319171922812347	0.368868156814554	0.175006118537715	0.373726950886958	0.169132307452152
ASAP1	2.586301582219	0.96975563074209	1.1033214206682	0.378348860527683	1.21375447049005	0.302978075065411	0.295389720798312	0.399570706774731	4.17343662048965	0.769838328248706	2.63614021920298	0	0.273436540501272	2.74128243555076	0.268542824865383	1.25199120858575	0.196701898104716	0.106514138977328	0.161875080595573	0.172945274209387
EFR3A	0.808238854901643	1.11195771384073	2.07296138614397	0.473804161520106	0.903273082843848	0.496524732897157	0.264419596920196	1.70716864383198	0.748833083610896	1.15628191178428	0.789661104288882	0.144063441972263	0.252051138924085	0.432024439061305	0.554101601804792	0.0800699799651805	2.01895347420205	0.662201135638216	1.71345269214682	1.29530587660306
PHF20L1	1.16936913548554	0.773966083593964	0.656709983021105	0.897633471552035	0.926342449686437	1.12588196559759	0.936303829645157	1.2216136543079	1.2925320974507	2.28225616521674	0.933457834500964	0.106922315914577	0.666213337572377	0.841605492357592	1.20600273555785	0.455418330196231	0.843286149725224	0.363866489612671	0.710196011212092	0.537241339097219
SLA	0.452637625289068	0	4.09425606068946	2.74126261824298	2.95650056120909	2.86161179918425	2.24145186302901	0.0797548482269762	0.166411211735752	3.73214708610496	0.172431391966322	0.117653737505566	0.534218162732423	0.456493993318026	0.721557804093605	0.0666377638662936	0.049669997037358	0.110266915920989	0.0293218432365487	0
NDRG1	0.465958083371532	2.49561819865784	0.613278093251237	0.623656970798174	0.72971404677785	0.487114366745388	0.22920413127102	0.859390279095447	4.78354103191586	0.685762197914392	3.73795916848581	0.17254140961069	0.071201689390549	1.66729226052701	0.418554332070596	0.262810867369993	1.43468448509897	0.902222453639481	1.02882438623589	1.13610666599158
ST3GAL1	0.833501327418387	0.423258094386822	1.42021606076362	1.35829338175534	0.897729873624732	2.00474604929102	0.96218807837874	3.41008263959029	2.430989689381	1.53276981120357	1.14161452387226	0.902642729752739	0.520789545780037	1.6989193663912	0.358751303040824	0.68764654378668	3.5743639099525	1.0340743258785	3.02465927667727	2.04073765464811
CHRAC1	0.705291281755788	0.910872988226598	0.493711326835352	0.533326524845928	0.783469942483655	0.645039466152108	0.506723240417621	0.630543844030991	0.779715860932494	2.07958042666815	1.09938908073281	0.223783776599509	0.666854454129938	0.773957463393892	0.980135275317487	0.266089623409331	0.5440904097989	0.222590635121738	0.573816040850111	0.300585337883526
AGO2	0.654979530420935	0.223693586905622	0.496063939491181	0.443479257866022	0.610444901194974	0.629780563944606	0.297606010735221	0.441718771654617	0.9632580689065	1.43706200654389	0.887759552940514	0.0575133733702274	0.202181463173346	1.41973452689321	0.39306571455147	1.86368475249074	0.415362497265871	0.121530753222545	0.277496852610057	0.361669425860602
LY6E	2.74154703230449	4.5457094893256	1.76477114567746	4.35776971464918	1.65385371704572	5.78786771148211	5.41537001292925	4.50383023062408	6.04434126493372	6.62903631336901	3.43738630469859	2.66800094386514	3.33921461387585	4.15626863099388	1.76634324023913	0.702514076982096	4.38378892864586	3.14497186798609	4.55038310805067	2.92320318562449
GSDMD	2.31842836166466	1.30502178988299	0.886843860906828	1.4209083100801	1.05477131231953	1.34270794322536	1.43243335532118	2.11658849787258	1.67357791520556	3.26727445174384	1.82517986686807	0.828034442811586	0.457519657500222	1.1461481334107	0.823837950568654	0.143354369910656	1.2787713385675	0.698404044376917	1.74387273789555	1.31003699978413
NAPRT	1.2858451516222	2.04819539030493	1.09610295542929	0.658100404037159	1.95844159937001	0.624591472449192	0.613576484265024	3.21456294373159	1.50989390304478	1.20379961207628	1.67910816343789	0.947200218560312	0.263642808272004	0.601885489045174	0.557840729349681	1.21887354941388	1.46580383960153	1.23712608698512	2.60011717134412	2.61472503176396
EEF1D	7.53693957366449	8.20014432648245	7.44744864198033	9.90765482775248	9.12887000145425	9.75941738277857	8.88209125543169	6.92570626373835	9.37226985334935	9.80401335077083	9.0882633774328	6.54630562633886	9.36079569739549	9.145383849959	8.47186068628135	4.36571752150786	7.40429213918018	4.81480084991712	7.55524010812088	4.92715185617447
