gene	delta	alpha	gamma	ductal	acinar	beta	PSC
CYCS	5.15029325596334	5.48100756850315	4.82997877732853	6.45370607004681	5.35960143635972	5.58306563832627	5.97318880714663
C7orf31	0.242702347533329	0.44535470996471	0.3949084252963	0.408083696808289	0.534395725719771	0.952434527388501	0.528976432567178
CBX3	3.11034401750764	3.36664722944407	3.8431122307624	6.36564697368873	6.06183218967777	3.99990785098148	6.45480431602239
HNRNPA2B1	7.91549960127916	7.89384244746139	8.3173715866694	8.77225595065527	8.04229860112449	7.46140566075386	8.04165003345508
LOC101928168	0.125791359428233	0.150340529130483	0.194349835513397	0.0986488458634045	0.149076688208316	0.24525814674275	0.0871946294615057
PRR15	0.3267266807748	0.436651919491328	0.652431125201064	1.68163898640637	2.37131821303623	0.233113664231092	0.107623256982714
LOC646762	1.2809099215575	0.708383844680059	0.767650813515842	0.870930616642409	1.22290262417772	0.636002936323482	0.963559897800673
FKBP14	0.956584030114713	1.34539150484901	1.15264493856644	1.68443126034477	1.76750160909292	0.92560495101086	4.11713832034476
MTURN	3.74304393437795	2.77701703728313	3.56090382421043	1.88875695343883	1.33983291414213	3.62659869839212	1.03146509890663
ZNRF2	1.30963487197055	1.00656548073392	1.35171370596611	0.857994356910049	1.05445003812434	0.846879409913312	0.539964142053229
NOD1	0.221412343757079	0.421078482845975	0.601556490645041	1.06857616564215	0.409433146332217	0.389450219652842	1.0462896067523
DKFZP586I1420	1.70748232439836	1.8211789585816	2.38541968443306	1.57807987545533	1.69588566620908	1.41931058075977	0.981801445251698
LOC401320	1.50311889720106	1.48227688425222	1.97158061055963	1.23085489215721	0.933470422474463	1.2856563873678	1.50552779471486
AQP1	0.146196239510609	0.155335335607253	0.234628067239601	8.291303119214	1.3328840073735	0.201137593753833	0.71285215231762
LSM5	3.92560780647928	4.17363717970414	3.30634038745694	4.94049191253914	5.27561825423909	4.79149179612035	4.27942721064358
AVL9	1.68849291369996	1.85771189613703	1.77389544717192	2.96705559579019	4.12052739053873	1.6717112760749	2.75523561885205
LINC00997	0.774025149864384	1.26505505086065	0.949122229404941	0.655168583016969	1.43792564172729	0.418963212918713	0.458033117282225
KBTBD2	1.662488444154	1.88109049559942	2.1369246056881	3.62674966885096	3.47430798429424	1.8632923142875	4.13147331154271
RP9P	0.548669736155412	1.40246958290007	1.06289019324071	1.17451790160596	1.2155066388903	0.928891698825367	1.50450649452884
NT5C3A	4.28122680789596	4.57867397859504	4.27358289753579	3.22997265561463	3.63807924718289	3.16479327988758	3.04499052341033
RP9	1.54141390416635	1.80056483739519	1.8395458396522	2.65150679899641	2.31953092756291	2.07741554288037	2.76651021218689
HERPUD2	2.82822705119681	3.09799621258345	2.46853275728815	4.51035712559738	4.40250250302246	3.94969721911567	4.03250758909591
LOC101928545	0.169148726960484	0.438352066672706	0.253502747106453	0.27838762323252	0.142166902833539	0.34644782950519	0.187709734895459
KIAA0895	1.85188077263137	1.81285753082364	2.56024752970805	1.87798722526404	1.23586964856234	1.87959084936629	0.113983152055447
EPDR1	0.847733492422644	0.186462494162673	0.579874755265781	3.51657501891306	3.01254829598745	3.040557376063	4.57176812303364
STARD3NL	4.25410025925252	4.31284794535148	4.01859855088887	4.7761306174075	4.25719429953957	5.0379332609206	5.40671403544163
POU6F2-AS1	0.587019602088998	0.549730144976078	0.585981345082364	0.0144030923933098	0	0.0454619937021055	0
YAE1D1	2.50738827417985	2.01713548522627	2.18510238806568	2.90927374974263	2.10565201183608	2.74658608793181	3.68160748474857
LINC00265	0.337867365419974	0.260243766596908	0.383888901498737	0.531956399429467	0.57330113100021	0.409895323600686	0.226697451062022
MPLKIP	3.6100409917087	3.95261241789925	3.50317326360455	4.8801788916949	4.2639974660391	4.73780785838122	5.01625968178383
INHBA	0.140377217610798	1.55096411853023	0.831152287782398	0.414173053254098	0.119616147204097	0.373316496028338	7.49783208621924
C7orf25	2.157501930952	2.07860360004886	1.93936207174674	2.80279010800293	2.63063223806335	3.3734266107888	3.86622269552574
PSMA2	6.17701563955669	6.22011708823927	6.0057311633152	7.61813296082499	7.01838727271571	7.12312697215199	8.01714745517295
MRPL32	3.81247888774077	3.7751472485783	3.47666934728043	5.48733829115854	5.42986231579932	4.46242705707523	6.18864485145204
COA1	2.37433552763872	3.84631224425688	2.71155455620669	5.10861713653373	4.43881321368769	3.02198239231645	4.71889455670577
BLVRA	2.61745334452881	3.47134385746081	3.17416716948347	4.62303527849369	3.98214156597325	3.78450336226794	4.6588714949074
URGCP	2.71864325990552	3.26479561068818	3.80332882020007	3.85357761444611	3.79574937686346	3.02507279068969	3.50475071465866
UBE2D4	3.36354730829083	3.40256368385821	3.31604827929383	3.71851109774807	3.71230361901647	4.2533635519935	2.95685529936585
POLD2	4.89004703958122	5.10434609596454	3.91906785534329	4.9116694414009	5.34274542638354	5.06901384754	5.4545008541924
DBNL	4.03589669498383	4.64482357541433	4.34692521808498	5.99314524074599	5.34093151127528	4.18391841955476	5.72575861772174
RASA4CP	1.17224216465177	0.780559351653414	0.72735790543835	0.364546232062284	0.480789215625805	1.04266356279087	0.131243773286429
PGAM2	0.234520752689038	0.608776781213225	0.441058018896702	0.206183856438865	0.269906934585708	0.498319640630799	0.146192451930571
POLM	1.32755839712837	1.46513557741878	1.81176452727376	2.06397039631788	1.86279222021058	1.32794860090976	2.09596182216268
LINC00957	0.481884193603771	0.703714309623418	0.623611389429943	0.195482974873711	0.212264673262244	0.552863640288827	0
AEBP1	0.374236146026571	0.478023799523726	0.21227883596731	0.0524317761513635	0.0366171862670663	0.266336732904532	7.92124315635008
MIR6837	0.266896402108842	0.284286290396056	0.244299367686683	0.390054680998175	0.380630621054142	0.275634128636452	0.545352553574732
GCK	4.05398384391801	3.10497411503962	2.86863102830262	0.124832395659742	0.0656598730917232	4.54667622808244	0.405669580689031
YKT6	2.17949223214217	2.57113227224008	2.38963198283288	4.26974944792688	4.80862169058073	2.36571179174822	4.66740698672603
DDX56	3.28604117803574	3.60785190140326	3.62594806548443	4.90378701831323	5.00709943509087	3.83722488033917	5.00381759050237
TMED4	5.14898840605033	6.70025534450462	4.6120541233269	6.13146211244175	6.18362675608427	6.52954072044904	4.61126164480794
ZMIZ2	1.96611776358265	1.85263210733825	2.09996581786008	3.57602615501368	3.44018440331832	1.42686282281943	1.98962347068045
PPIA	5.83887886295948	6.24992030698963	5.32511543455757	7.14688636971514	6.80338191222896	6.18359596494593	6.62727663900824
H2AFV	5.3389507243811	5.0518955388086	5.11837793924613	5.5540288031269	5.29209928375222	4.86108805277003	5.06494090414252
PURB	1.9658477772791	1.57602266615561	1.95273462696385	2.22699808918101	2.15497783120537	1.33353009060716	1.44363208776019
SNHG15	1.69668670242359	3.09140327821124	1.82479556137441	2.505438280468	2.94365423477649	3.16167024495529	2.92756273170884
TBRG4	2.38323354972785	2.41084937962189	2.20169392158356	4.47420873758742	4.00133748889486	2.75536464941012	4.13083564875198
NACAD	1.26741421822759	1.24766214939105	2.07368610423243	0.469535896269618	0.214034684470901	0.783196975319478	0.650793560471961
SEPT7P2	1.70110789765867	2.04543298499715	1.64672476872627	1.37426104775625	1.49009905377465	2.32786169134331	2.15421698348088
IGFBP3	0.166037601516753	0.474527811424683	0.421401316349837	4.12080947936085	0.445645272662273	0.620625273405025	4.06519758849375
HUS1	1.64468529850487	1.54656639766408	1.62641281278399	2.59703116843629	2.38612430822723	2.48352519528771	2.93876870420248
UPP1	0.925763746980243	1.283434729596	0.774887478809887	2.84699846203021	1.43172222186946	1.73879879567007	4.18531870872829
