Gene	Blood.vessel	Secretory.club	Alveolar.Type2	DC.2	Macrophage.MARCOpos	B.cell.naive	T.CD8.CytT	NK	Macrophage.MARCOneg	Fibroblast	Lymph.vessel	Monocyte	T.CD4	DC.Monocyte.Dividing	Plasma.cells	Basal	Muscle.cells	DC.1	Ciliated	Alveolar.Type1	DC.plasmacytoid	T.cells.Dividing	DC.activated	NK.Dividing	Mast.cells	T.regulatory	Macrophage.Dividing	B.cell.mature
CTC-524C5.2	0.495752151941495	0.314579416185842	0.655325316846669	0.464874788133978	0.600607726424516	0.12130711699782	0.158888055231729	0.158066125613214	0.214252406751761	0.969349450123283	0.711575934273757	0.134252990468608	0.177700576359211	1.14276877111047	0.421473596220195	1.03161519197539	0.617593548877372	0.676975920431894	0.627002410081614	0.711577907675355	0.477893046272838	0.533716389491988	0.492764850054474	0.481393362141073	0.0934382691103614	0.0968037425082766	0.747664221058383	0.207755374251344
C1QBP	3.33854386281113	3.7938530812897	4.74664079293712	3.97455752352214	4.49129707015277	2.33709524804241	2.05839082360465	2.16885464520686	2.5549267093901	4.70477889385588	4.53563033401208	1.82785962225337	2.38594832039616	5.54240729575214	3.23908624578715	4.26027835399475	4.03092596174496	4.90102222039529	3.79295417562306	4.00871882723514	3.55642920816543	3.26771439336461	2.77064702446018	3.95953565381704	1.72423607840799	1.21741130234194	5.32322195306756	2.41914897592861
DERL2	1.29015286280283	1.97036866587711	2.07192623721022	1.58339169914496	2.65969349359344	0.809032388637718	1.11400720634826	1.37416704596818	1.53665398763109	3.19707368877948	2.11602888039911	0.833956146418255	0.779539746089632	2.93351880884989	2.81647306600755	2.3397689947188	2.06891788666866	1.14124293872068	1.35981399343169	1.63903928394461	1.93263521312195	2.11925209404396	1.54391296075833	1.44888495631805	0.72501367980824	0.775377883820855	3.21647726104133	0.89042936886905
MIS12	0.497144684548244	0.709315375703323	0.736376618382759	0.513300704967783	0.49643747374447	0.661371861524412	0.456574029159413	0.634481796212878	0.278767710605996	0.764743930422543	0.490667772011131	0.227511574033757	0.406417640686528	1.47736207817242	0.581980301198488	0.505633738327717	0.672896007456157	0.253214819225893	0.58857772246535	0.728069612338967	0.144697184002471	0.444093035096491	0.394618221287308	1.25222720284493	0.304993988140292	0.149366203765315	1.52556348671966	0.862380031470933
NLRP1	0.690649097691509	0.293530727316672	0.0664175328808209	0.820827866235227	0.720277544553225	0.347882523567891	0.493065301910562	0.579086640723449	0.596998210154317	0.699683555261308	0.102833711343942	0.538435226664878	0.48638588589604	0.633199156496485	0.379796228622343	0.558229486749644	0.563009252525738	0.574121894319187	1.97969435898163	0.106796182968915	0.140642398639736	0.838843459957024	0.221942108192238	0.458136131404674	0.0661451041130699	0.582119036149842	0.885830278807766	0.420733469516382
TXNDC17	3.30062218889839	4.59398661823299	6.43062126018878	3.54993997959133	5.82091370281867	0.87743893283189	1.13348246830853	1.3060266373873	3.65147334125703	3.96522181795903	3.95969519037548	2.64771078931423	0.878597554503501	5.62214971796492	3.45916989630797	6.29536856319002	3.49860003414604	2.84153179963919	2.56460110693969	5.02600565294097	1.26760744961564	3.67265695637308	3.28430123842062	2.45357410447149	1.12518495793075	1.32375770879334	6.6924853145157	1.12485874200041
MED31	1.30334718004299	1.38209105006296	2.24565001682602	0.679944038280146	1.90314548248212	0.308569606040746	0.579973818777515	0.660947711367032	0.826065225703274	1.74886020883072	1.84621446596657	0.472554533158986	0.535317074848936	1.73892025965803	1.42809802151915	1.30514779185031	1.01368341653435	0.286568170119538	2.47054062826453	1.88770125142602	0.493868456324659	0.809267215736361	1.00909919596594	1.13850326305282	0.326035860032857	0.468071281208041	3.40066602955899	0.757300314692558
XAF1	1.54620004789019	0.517403682592932	0.174148115738751	1.1423913294165	1.59249253585765	0.533038575038409	0.570309640044563	0.913794497702232	0.630891499400182	1.27287046643575	0.126131069801731	0.487607250972744	0.475939264640186	1.53737002377331	0.337102488909582	0.529312178466206	0.450419745422174	0.212273771180461	0.782708826403243	0.712512319322202	0.176988236504284	0.441953187244093	0.638067140535856	1.21496887254693	0.208126297912723	0.519440426803169	2.38477807285465	0.164862885002317
RNASEK	0.574864872767601	0.307664370907328	0.367702418250888	1.36272109021243	1.10414668153976	0.330373419902693	0.443817471848312	0.590722299107541	1.05900297249812	0.738567053600714	0.725850399273319	0.735705134415799	0.403453692843759	1.36548814288938	0.708180005888997	0.34295785624448	0.342664392855337	0.94873592187999	0.297756951374263	0.358969006022734	0.611098793530811	0.535660227007456	0.996494042791536	0.963020577588025	0.432525655440342	0.48170750970225	0.948656279126054	0.895497016116902
C17orf49	0.459170061330209	0.193783516284822	0.340966390458572	0.778031309632583	0.452747513316777	0.220838621524778	0.267889547756426	0.432448007646204	0.33756558232981	0.476812804958066	0.725890909302286	0.383629638697233	0.235011587634838	1.09693743504285	0.566268753392579	0.19596083861998	0.655660603423664	0.621833153303479	0.171665969511341	0.29136228247734	0.663246124172258	0.580294382545546	2.24671245269617	0.860061705868896	0.202009093330857	0.210510854130532	0.670026041820683	0.230017177236798
CLEC10A	0.119352661647081	0.168956080062893	0.0481232757678682	7.42056808266192	0.846278142468655	0.0296980283526806	0.0237695175636759	0.0610254168374832	4.02130789390234	0.182856493636889	0.131492287736377	2.15341889278605	0.0384182089748783	4.12252358549784	0.204607666644646	0	0.058230439178033	0.184206644639275	0.0608003680788199	0.143732760910034	0.500647016679097	0.126345868524712	1.35019953867624	0.20544373038229	0.0315783344225525	0.0560456089614348	0.279230302744773	0.127904622007936
ASGR1	0.488379512014908	0.238984382506974	0.306685729423624	1.53328984631032	2.55730242506447	0.017954991062894	0.015693064690527	0.0515408407907697	1.72779383443936	0.102166194700633	2.29606815597131	2.45729395955441	0.0218038890580301	2.12814564577327	0.147697821346765	0.330744029967987	0.0950817881697835	0.230086805419503	0.095510403441446	0.206505369613062	0.310733839479985	0	0.121265421136197	0.162156656685718	0.0464161408692587	0.0163798443848884	2.88763966816396	0.0245955128604028
ACADVL	2.49716699100904	3.78643817243372	3.95051886491498	3.32192705932021	4.7188658325056	1.08606699239796	1.52058387077118	2.08311494482971	2.55322843260131	5.01885052083229	3.26000673301759	1.9081758737886	1.29160537767646	4.77346453855622	4.27505791874335	3.75537415086503	4.12763046060929	3.08749050112422	2.61349869263262	4.03783494757837	1.90444988671065	3.51184397012537	4.70778131378409	3.59789700214314	2.20555755650204	1.58976481957915	6.21946314186757	1.20682349089958
DVL2	0.424042440197223	0.581692101888985	0.622234676863172	0.525879342618475	0.478466460850022	0.431930079833224	0.30528141469074	0.388551814900952	0.386763711837674	1.23410297214201	0.798396110794471	0.168259399171537	0.247478833366054	0.955313123734139	0.580543684308711	0.453501562394601	0.797347605231792	0.387210239046522	0.53364425951508	0.757357983330715	0.305384246171514	0.595901021928287	0.927109866418327	1.11597783180515	0.224927738745259	0.308855652267118	1.15754955577478	0.516782196896081
PHF23	0.751789245399641	0.719660291317136	0.880909924248759	0.51534569230139	0.761215262946526	0.432959469922073	0.445450547134127	0.487666242740012	0.590716644978001	0.983560980219814	0.801311999259194	0.2226714231144	0.342735831098678	0.689812744855269	0.477653682371906	0.611899834280447	0.778019084271068	0.861703314672475	0.448295887458366	0.92704677524069	0.676319169581628	0.531668006329064	0.802877621896192	0.58923741532134	0.286316500980715	0.218565949025414	0.841118259644761	0.490229255246294
GABARAP	0.965018912044689	1.74020910510964	2.22189382029936	3.08268437899387	3.34007096324527	0.688047756127664	0.455059502223121	0.581583861976069	2.23567056426074	1.99363491691189	1.57406261230178	2.01811048418531	0.480435855482959	3.75119455486349	1.6270720192511	0.968936039685071	1.37342552423763	1.8599085585902	2.46406661754216	2.02876368552909	1.92409576978271	1.14370146567576	2.13383894983699	1.55262665704729	0.350615756624848	0.538055148460655	4.13109251554347	0.814932214737762
CTDNEP1	1.12846994356059	2.25508653703184	2.76674258769324	2.07373621691103	3.09421377681903	0.44732125440845	0.497869959041116	0.545961364122462	2.29310261921827	2.18437856311129	2.27042371805996	1.56210405367612	0.502800359063339	3.43803747464794	1.78584911778218	1.81971593904138	1.09911282452252	1.66722640172905	1.28198665000048	2.86016118544312	1.550779866238	2.3770473077897	1.43036215462961	1.40381942723383	0.576116980461804	0.466146621357224	4.49228420186344	0.515430729619294
ELP5	1.2600905597264	2.04630139039054	1.71990822029245	1.3666060811595	2.05893245226973	0.497636217934409	0.63637610814879	0.729443990132114	1.22469567517892	2.68144915613304	1.98827319356118	0.834781442340969	0.574068685509639	2.38105537945127	1.75336405216735	2.23260767401005	2.20284696774794	1.55278879524228	1.10862668286381	1.77034294322687	1.05167961867192	2.49796304020387	1.37512041735839	1.35323049257745	0.456880917040923	0.612031137249511	2.77902261753208	0.895894333690088
CLDN7	0.234155802423006	3.99450810316342	6.78262441055476	0.488691336249564	2.07195104682478	0.135450927370836	0.0927369313118491	0.102584645366222	0.419131139329267	0.159916878195083	0.246002582592766	0.145073573742524	0.0573868333186066	0.591177919104544	0.384204900231235	2.81851382095815	0.180709564485875	0.367992371457684	3.68824734920459	5.46215463416422	0	0	0.329285884742041	0.161621339057111	0.0681916003378121	0.0523637509508221	3.24598394508764	0.0118948682766314
EIF5A	4.11332152414186	4.85422566811032	6.47939793374165	5.34774489717375	6.01391347199212	3.10577173819129	2.92079344087259	3.76819952571581	4.04027150350026	5.71373787122857	5.58823050459036	3.05852093390223	2.87935163554479	7.48798397072664	4.5353524556937	6.33767190676244	5.64413482668925	5.98283563248331	3.48719820891204	5.63566473183432	4.10362488566285	6.52179057136074	5.8312331130234	6.00778068634885	2.65338746461227	2.31340185579752	7.55887549692314	2.09907909036387
