gene	acinar	alpha	beta	delta	ductal	mesenchymal
PABPC4	7.11895335592721	2.19143776282856	1.2976484018575	0.545775386781972	2.2155228657887	3.36915960392947
PABPN1	0.277926280667868	0.222718714696652	0.432777540025657	0.221738399898124	0.577684214105708	0.417690204545993
PACRG	0.407028659359532	0.85800226611203	1.33487682281568	2.46094736494318	0.310281983276331	0
PACRGL	0.469817615761434	0.912310155519581	1.02765771465889	1.72097308788705	0.84142998649933	1.03528661836088
PACS1	1.68143648903123	1.05533220367991	0.570993811293481	0.64769241145944	1.83029943153556	0.286902913768902
PACS2	1.33441423568303	1.15747468697695	0.71756347452808	1.15693398517047	1.04241618242313	0.521543518903327
PACSIN2	4.00615004502524	1.87055443110024	1.26859459122081	1.17743226239464	3.80670119224578	1.46013168150054
PACSIN3	0.400304995662341	0.0574987391500117	0.23651476989315	0.202041842082955	0.820342690506195	0.649300557164731
PAF1	0.882338899888013	2.19886067216366	1.89857433839292	2.18980768408096	2.73566420063685	1.77008158804326
PAFAH1B1	1.80164732426784	3.07705204967351	2.96054527813483	2.65289829487978	2.74373418620035	2.18889342437758
PAFAH1B2	2.3610493782724	3.71978344455652	4.12687792585209	3.18833195986043	3.75026675043273	1.43480743253347
PAFAH1B3	0.795983074285897	2.31452253757855	1.22387803433011	1.71729623189277	2.29825848533853	0.216857456850684
PAFAH2	1.41268892151747	0.632699616626605	0.775601492489608	0.904975130401706	1.628822782323	0
PAG1	1.69166448838272	0.0883935783934894	0.00527044989514653	0	0.46995655719009	1.3860263618066
PAICS	1.67562933553467	1.79804524094152	2.02440975775424	1.43133624957589	3.20641768290651	1.04006889358327
PAIP1	2.70253182644192	2.3097526093864	2.23255992204383	1.96901920744485	4.13709942615418	1.87285805260753
PAIP2	4.62112395759114	6.01385919549165	6.20868642009244	6.32366988193396	5.87906653423302	4.88120937611467
PAIP2B	4.79639285297761	0.551895938737073	0.695202869924276	2.41237555732457	0.598613223095863	0.151352436138317
PAK1	1.59504851214565	1.39299858873568	1.04299000201405	0.863545617481942	2.21357111620014	0.374378546802742
PAK1IP1	1.98677829793619	1.24220455745271	1.22495029462499	0.560563110633765	2.25640950893371	2.4098161154482
PAK2	2.42777358880381	2.37683300024932	1.92502585850059	1.60361974849084	2.98929311535145	2.10361455463593
PAK3	2.03816367105022	4.79268367840149	4.31382709943486	3.86579159038396	0.707772670221067	0.104636646381277
PAK4	0.422433781653484	1.78269513016847	1.54309190554009	1.0022864515864	1.71820069199476	0.278863611101335
PAK6	0.74853452933507	1.9246168778314	1.06091083556063	1.51633997084938	0.959336760961187	0
PALB2	0.325173895033959	0.352950450747773	0.277812712416094	0.593144889656952	0.491481438171846	0.173807587033678
PALLD	1.80491968701661	6.73059870995176	3.03913807534136	3.16368302701899	2.24435384489757	4.05093473050931
PALM2	0.0676765650345568	0.418275922151577	0.846041275029167	0	0.0811988531313954	0.656002602607737
PAM	4.3609571813597	8.97157272259869	9.07653713778834	4.42030137907641	0.544640071229091	4.40045483176663
PAM16	0.59857545389001	1.19332779009269	1.13427348852634	0.858884827733389	0.492512934841327	0.254137676113981
PAN2	0.689068047308262	1.21779504462642	1.21670513421971	1.8384296306932	1.12824633810799	0.471160089611016
PAN3	1.15864357178392	1.71291678914343	1.58168695182432	1.21657268940807	2.03684452809293	0.882884998617263
PANK2	0.769042470099024	0.843139903042571	0.903547335547003	0.0721603592692477	0.774988702440754	0.258575105473351
PANK3	0.731361416115666	0.883296845619104	0.478124788911767	0.882780015139301	1.52978605827177	0.423902284854149
PANK4	0.214656129888145	0.585312519586113	0.55684923833943	0.380444943907527	0.563581434890858	0.599543344978368
PANX1	1.09321943834739	0.689505255784163	0.29884081104055	0	1.97079247194381	2.85500058706281
PAPLN	0.0576817078708645	0.422416330408072	0.11635062681303	0.393446279265164	0.749212126381749	1.12086978374769
PAPOLA	5.77462596169589	5.96453221021695	4.99854464599815	5.22272731340374	5.83665380719999	5.29522734109683
PAPOLG	0.57262549360751	0.668670517398934	0.6090023056256	0.749316256228801	0.996231896295925	0.518363594601102
PAPPA2	0.00836837592397584	3.99660480209683	0.40099767029395	2.13370332033885	0.00964263334131269	0
PAPSS1	2.00627575140479	2.07407114150933	1.75448360992572	1.57810377725449	2.5713821674221	0.481457447596068
PAPSS2	2.06408555344806	5.19837298118181	4.80091229403189	1.77155274588209	0.789651449882217	2.17786526543984
PAQR3	0.279362297073091	0.432943967358843	0.975131052586315	0.545689557586009	0.324876425225576	0
PAQR5	0.0195856165262705	0.0429953056952492	0.0382815621596231	0.133557553208542	2.9141374478932	0.11516940177502
PAQR7	0.126554921395409	0.280159699870608	0.181060707121298	0.219974972025047	0.505596769333346	0.309376593150758
PARD3	1.90985082845558	0.770253939187795	2.46877619387785	2.00867667438681	2.72454324553344	0.850829750195035
PARD3B	0.390309199444435	0.610272569860181	0.362392184690649	0.455510383029869	0.616967992094089	0.722061746514626
PARD6A	0.488221600395565	1.25757901032663	1.06970587513637	0.507812985379152	0.433454447927035	0
PARD6B	2.88808562567214	1.37427216206489	1.0237829137103	0.901119683688145	4.45714843334139	0.224420168412947
PARG	0.270038451915654	0.608289626012411	0.86038332392825	0.696740295328544	0.947844545914314	0.0444397076180834
PARK7	5.66506671293337	6.97785820199934	6.71818219846752	6.85268063728556	6.41002256866767	4.53017069108193
PARL	2.5625200278748	2.39178902189724	2.40649854231155	1.82554265820198	2.60850722540988	2.39637208360727
PARM1	2.35064761067613	4.92623599357049	5.55152706471801	2.80548979847327	0.0141584443249471	3.01369420693707
PARN	1.46264618506327	1.54700221889987	1.63351091985406	2.21088949126878	2.1033028498413	0.723837995174197
PARP1	3.02833038659557	3.31650946183099	2.93554565523387	2.96288853604787	3.31119315619013	0.344359781209731
PARP10	0.150680030617	0.43932569723713	0.525884784719221	0.247174279385635	0.779397827129883	0.654425631220968
PARP11	0.139799871684871	0.304777900144342	0.299022477794646	0.499386762874554	0.4589187259503	0.376930061856366
PARP12	1.49750997447815	1.05040191301834	0.707802459482234	0.742806495991596	2.09379291865515	0.642966324634185
PARP14	1.46282757374029	1.95968945610247	1.14141842416369	1.65939661584144	3.76984774211388	2.33912667045065
PARP16	0.60724971979148	0.542427456950784	0.200523680521129	0.68383145028513	0.618464299090626	0.213668839138518
PARP2	1.40808253263296	1.94147610705307	1.38076169552434	0.936774675849864	2.57965092797207	0.531708128000079
PARP4	1.87143473904897	1.11927969609494	0.865973467760241	1.1198176197177	3.58880786387132	0.714262097036094
PARP6	2.03203451323792	3.01398818077973	2.51608861915365	2.57774247678423	2.89851172378175	1.27121821012908
PARP8	1.2297950398059	1.87883828858996	1.43717138354465	2.7601549472793	1.94335788538932	1.02667203419322
PARP9	1.25502467274295	2.76194126218712	2.43851160147085	1.65449627401398	2.62243324179157	0.673391597424456
PART1	0.010939326647582	0.699482142732325	0.257362594224473	1.63201520276577	0.0541268491006185	0
PARVA	3.6160612409042	1.6064432848604	1.23977985661006	0.540838604938979	3.57388958300494	3.58774379778225
PARVB	0.235478846564984	1.71722888441969	2.95667147900873	3.16219072425179	0.0179805675840642	0.849974859386206
PASK	0.262275599365839	0.272831982788329	0.252776243922696	0.569889333300384	0.309485427687218	0
PATL1	0.618677457735196	1.30981589924783	0.6404305364297	0.718235266886107	1.63052916014546	0.389783583416205
PATZ1	0.534641565237559	0.805122919068937	0.681073087344481	0.946585625820166	0.873288861515526	0
PAWR	1.5015640403162	0.510280735690597	0.282962067569923	0.0748973617104278	1.19150229802081	0.971738702403578
PAX6	0.167076817000717	6.28498132286515	5.96863335720425	5.16687780527372	0.131440524899745	0.0533306851946466
PAX8	0.166809423003709	0.40301660815555	0.181669394250021	0.126129164192605	0.645278602433723	0.16364804993634
PAXIP1	0.299278823474332	0.356592342729654	0.268267914368533	0.353726363697894	0.618007525185099	0
PBLD	1.75328367812649	0.637626510723293	0.710580482867459	0.16985846697183	0.533898759815656	0.141360045731093
PBRM1	2.52818562325963	3.11560694198358	2.14260778118682	2.45784814953237	2.40227274231296	1.23791728541211
PBX1	2.73129860470647	2.60521403504955	1.44277709666431	2.25990703260652	2.0048337046697	2.63323831206438
PBX2	0.280818114183238	0.245817966304645	0.238989451966615	0.192295251217995	0.230005734338299	0.158330456107368
PBX3	0.129483349567757	1.70823283288001	1.02066681001702	2.08998301494842	1.76007449549097	0.519691318577522
PBXIP1	0.682400078166496	1.65869546461088	1.47617319819312	2.63006299801784	2.24749044097591	0.782675510006917
PC	0.151728362474822	0.521402991359182	0.544356993149561	0.313187550923635	0.368815654826448	0
PCBD1	4.4860905193779	5.15131799858124	4.10456632982429	4.54387806728145	4.18479804221906	1.68297741527171
PCBD2	0.638214565204867	0.910265435909171	0.672775110438768	0.501755600580269	0.753065635814298	0.375665777201042
PCBP1	6.07982127305879	5.89655221782315	5.19030789384682	4.49855013302068	5.9131541599761	6.25983261284028
PCBP1-AS1	0.317291172295721	0.648711538789661	0.60384580717366	0.742618878579202	0.345757323631056	0.487809952819813
PCBP2	6.17171203798768	5.52296750254096	4.23266904353387	3.90974084266659	5.10103729147709	4.43194299075388
PCBP4	0.464464158589511	0.711931393688989	0.387444805871481	0.458773806741473	1.918247550941	0.703605980293098
PCCA	1.08604403294876	0.60123976841025	0.894459620730193	0.889841268106027	2.8003579866222	0.901067082505308
PCCB	1.31123139948807	1.96828792065299	1.9509574598598	1.59937481209266	2.27176153599384	0.142217423021473
PCDH1	0.574325523031373	0.322427197165392	0.274723969268264	0.298051815729368	0.878848781634182	0.0731511117688975
PCDH17	0.109404920955648	5.28957392942359	3.17560145534476	2.65148113944299	1.63297122408329	0.429518646841617
PCDH20	0.00682813233834954	0.593607665887795	0.265467099771475	0	0.0332847257264601	0.174721515057674
PCDHA3	0.0599913065162776	0.270356385724798	0.627012042344196	0.117414393883424	0.0809231772704134	0
PCDHB11	0.629167624543983	0.330314086687946	0.814555060478832	0.113171657535649	0.0887423536957269	0.579088886663286
PCDHB16	0.262816992056078	0.831682538488275	0.768102043382127	0.265837124544402	0.0586553417151411	0.593542136800884
PCDHB4	0.573912395212705	1.54429850800903	0.283120963113771	0.424683402673136	0.097185185441786	0.338714454256183
PCDHB5	0.386092394377749	0.705308749118928	0.6042120256759	0	0.246154281675447	0
PCDHGC3	0.667733888478642	0.669296590103233	0.428658137987961	0.451903620538555	0.61075633964158	2.61066163762201
PCF11	1.95571498676711	2.5582694518748	1.98032955796396	2.51949242093752	1.51100158661877	2.71617746376809
PCGF1	0.388921735322308	0.548506625435364	0.61714636647655	0.817663950648536	0.900176438511587	0.631858042664257
PCGF2	0.128624312433384	0.353221378974073	0.379628908122444	0.406548943749594	0.232417736219717	0.12170772944063
PCGF3	0.997888511360117	1.76041456363363	1.5580204151316	1.33931774229037	1.86370638952574	1.26092389762982
PCGF5	3.56809536150213	3.74472929747526	3.67046611221369	2.00620477647419	3.35913726886748	3.34824214206539
PCGF6	0.734653770830493	0.567752904785463	0.384320201279132	0.392520695309069	0.563033166456454	0.545120329858936
PCID2	1.50150816120865	2.04732203120193	1.5374871518494	1.66136409552489	1.81754985240049	1.20445908913559
PCIF1	1.60845333378973	2.63521748285825	2.49888281133169	1.84347038298589	3.22797191170594	1.81637440616996
PCK2	1.21448118815878	1.74468008295859	0.716846951826348	0.619117029875567	1.08132886747248	0
PCLO	0.875255695063945	3.73489295194643	4.29522151279549	5.57702662245592	1.03287968462282	0
PCM1	3.97012137578427	5.64347775234427	5.60226809630936	5.57596853557985	4.09610671479748	3.30115896962723
PCMT1	2.88026237737274	3.95823358573735	4.41748619051676	2.85735140243321	3.76697619367724	2.27093919016056
PCMTD1	3.55499042956145	1.96095153395264	2.17527832803854	2.60265000023184	1.92810287318682	1.06521340911666
PCMTD2	0.698742006577286	1.99294035197863	2.64512664552433	2.86424905006931	1.46553833821501	0.728483670675412
PCNA	1.17086630635879	1.43225604560753	1.1319353727546	2.12209943076654	1.84893197911778	0.520262089756116
PCNP	4.14761184342544	4.82226169843869	5.02604587091138	4.74798797308911	4.99746337946781	3.93809247951044
PCNT	0.801828512336078	2.43912520157245	2.03277203039446	2.21757001081893	0.864444401060609	0.907901530555543
PCP4	0	3.78841616824653	4.51463597605515	6.36051398968182	0.0874249040705138	0
PCSK1	0.080623246977223	1.27310426142377	7.792082978934	6.7969687349521	0.0768312162751042	0.0516572676302638
PCSK1N	0.021528611597562	8.99283655882553	9.1085687881495	8.22090353764075	0.0526676356810227	0.0802312086065755
PCSK2	0.0351012458632134	10.0155104114056	6.51292610649716	8.14003093421797	0.014960226245873	0.0735472920090364
PCSK5	0.964361034738678	0.243233971056162	0.114561675171511	0.100156300562426	1.69516289201776	1.37425737557702
PCSK7	0.799023481667779	0.977664504237286	0.697854166801134	0.487539224181893	1.48052121042836	1.58187617832734
PCSK9	0.338820095526163	0.0730601042855613	0.280948107438335	0	0.508231614576211	0
PCTP	0.676285629394968	0.465995023313318	0.41433150590239	0.273284442868973	0.905449446170736	0.23978503027474
PCYOX1	1.31612702460183	2.28364380483993	2.2620896388531	2.35146280442478	3.24348669546934	4.28186770648931
PCYOX1L	0.0772146358507266	0.674334129383653	0.693846404999094	0.372989124316758	0.359004841112806	0
PCYT1A	0.816834331862253	0.584377909413262	0.711451611872748	0.822270836815323	1.02762487916416	0.351940878846527
PCYT2	0.518300041494937	0.51334512992003	0.404624750005905	0.251950248502907	0.94781607205588	0
PDAP1	1.77613014863865	3.07737012697657	2.60785545532612	2.63116619379039	4.2241073025182	2.26296657225913
PDCD10	2.04690133230727	2.29642309037642	2.12649552108078	1.47498724229262	3.14771552631806	1.39619600691031
PDCD11	1.12416850497489	1.28194334652258	0.778369770118105	0.635501220787428	1.4988119532594	0.976738460006646
PDCD2	2.65766656403405	1.84302967604782	1.45908703262544	1.42416403321592	2.31800203459704	1.20196951881076
PDCD2L	0.891357359843602	0.770497127449011	0.481904309433465	0.712121528982637	0.86447876104144	0.136628062231523
PDCD4	7.12603547158557	5.20404823045787	5.03223164372153	5.26895041579029	4.24332617253251	2.50523882961371
PDCD5	3.7134953995584	3.48864705876663	4.29526246005561	4.07797089503569	4.15064524935036	4.43230624381988
PDCD6	2.36930469415819	3.66768752330587	3.5502262271968	3.09127855322919	5.42439313783473	1.98159815213054
PDCD6IP	2.95492210466497	2.87230946027017	2.12040127045355	2.95058798841398	5.33406315833481	2.10644361685449
PDCD7	0.603358859743655	0.826130793062396	0.620378119734352	0.174244309461091	0.434666359394168	0
PDCL	0.673694099623106	0.801969878746679	0.926538222379177	0.689524619129389	1.27302842778753	0.178164600629423
PDCL3	0.875975032849428	1.39929004572132	1.38926263869491	1.24940595010993	1.82366540815928	0.525007566845159
PDE12	1.5088814912003	1.80247321410016	1.51621531025954	1.26030402172407	2.59726800044024	1.5083278092532
PDE1B	0.0112571570406898	0.270008051685792	0.494028477809928	0.14158851509389	0	0.326463955187033
PDE3A	0.0454858833254231	0.0852098653641647	0.842782779126673	0.585056592992775	3.01557701677907	2.34693294040232
PDE3B	0.730318393691204	3.47844531520836	2.26930871562471	0.346577067688919	0	0
PDE4A	1.07290313410021	0.110678795470403	0.0246423362629556	0.144433302299941	0.392422611392901	0.977953058943033
PDE4B	0.0136674931193229	0.501504301644689	0.101727533894429	0.153536225741734	0.223430234462074	4.19371312683104
PDE4D	0.687386623109002	4.16905278617663	3.21657398560309	3.67558301504	0.117972269278476	1.58404985841923
PDE4DIP	0.704825740876582	6.14121374268038	6.07828429867121	5.59485457677581	3.35707696444191	1.58775989544111
PDE5A	0.500837880018589	1.43706074779262	2.01739971491939	1.9256984051711	2.33530068149933	1.70299965739029
PDE6B	0.0951410303591622	0.502270744382879	0.576006964779017	0.39652289569738	0.657748888210582	0.166029571169194
PDE6D	0.738642739841801	1.26212275909311	1.13216934000088	2.01627254592146	1.66416230632581	0.53005196468709
PDE7A	0.498317695146185	0.387975699579897	0.238869623903853	0.217480371790806	0.709660432800729	0.03492100859823
PDE8A	1.41559780809454	2.79071930635692	1.57001655362754	1.20636436327342	2.34396539327125	2.81036961916204
PDE8B	0.152146602572448	2.1597670184235	2.60657723803911	1.26085519825585	0.914677667616368	0.130065635619284
PDE9A	0.01945033535397	1.0744283157772	0.360937414927433	0.26840209428573	0.54018155847683	0.474059323839041
PDGFA	2.69011445458386	0.679574134007164	0.817598854353814	0.689321739835907	2.12057089288489	1.87333991272593
PDGFC	0.44076146952392	0.010743280908922	0	0.142781624679827	1.87918462596319	0.387424974075351
PDGFD	0.346659227366684	0.0571860412482528	0.0202626919465584	0.268637057179854	3.81120344187989	2.23387153702202
PDGFRL	0.407531732997797	0.621466998234559	0.487775094833805	0.184662803778474	0.100590586679524	0.70582235827776
PDHA1	2.84153095508454	2.27534202888202	2.14466743276689	1.75880648049712	3.94802049676709	2.17868534050341
PDHB	2.07959673417395	3.01456310370751	3.5515657658912	3.29353844061255	3.84821912229605	0.67667929394191
PDHX	1.16399525510714	2.06672809133745	1.55818984651511	2.04629152979948	1.70349491058781	0.368257436765762
PDIA2	6.79160277250494	0.0563427215647584	0.00793126771156619	0.0564973374241087	0.0529727130382908	0
PDIA3	7.29214354812136	9.13654932811005	9.2549129097826	7.97108752030896	7.9263447057889	7.34182588493842
PDIA4	3.80740783208684	2.13408175002331	3.84919286349919	2.49495402554121	5.25358273869177	3.17464962706858
PDIA5	1.23321731353794	0.51924688580893	0.649629572471272	0.291029746057146	2.72494834097366	0.237559448436393
PDIA6	6.28214345085967	5.44536588758528	6.97694515642967	4.77641017108494	6.50426784511343	4.76580508383759
PDIK1L	0.57542750115677	0.818158103546529	0.680366912593222	0.938462416072132	0.879109229114939	0
PDK1	1.00529195313751	0.67010675156387	0.799424972984604	0.383844664950048	0.742301830350212	0.537599996718133
PDK2	0.978652530690844	0.795168682390752	0.706451539913771	0.72670648041433	0.907470890524132	0.225958488962725
PDK3	0.964849810664442	7.59860705342535	4.49930043339734	1.99885132945625	1.50540199530234	1.07472000844635
PDK4	6.5314286617238	6.44858278202555	3.52350557382631	2.24449123718175	2.1790275357781	3.21228837177516
PDLIM1	3.2995616293703	4.48203120792578	3.71842787802135	2.69711469364286	5.82264908567226	5.45805385103153
PDLIM2	0.380589085596814	1.50075098995762	0.542018333133923	0.286999129355949	0.673644162234262	1.54553035530999
PDLIM3	0.888670385115005	0.0522174297391425	0.0372931431957434	0.977196355506859	5.57433237719287	2.66515086812768
PDLIM4	0.400190018903699	2.56112129520149	1.22902880511945	3.04061751751739	2.1906071857067	4.7423254235965
PDLIM5	5.60782023694867	5.44161408992832	5.13758316209193	3.60266134626805	5.90688952814856	3.73137201986063
PDLIM7	1.18560412417084	0.568948136375916	0.170422293321592	0.204536353736791	3.6154754798774	2.33053052351013
PDP1	2.4218470900171	0.783184241287537	0.797563280523613	0.45981982068842	4.04548775608452	0.982488053728167
PDP2	0.26059600322353	0.177388452029259	0.249547165021232	0.287616645641506	0.228176049376036	0.0439574219984734
PDPK1	1.91164854375731	2.14115065698723	1.56418187062253	1.65072374662962	2.25040556337358	1.54657118908032
PDPR	0.975434180673957	1.0758232483217	0.784498144358025	0.767974786875864	1.11648797753742	0.786749884391061
PDRG1	0.353161598692176	1.38330727392161	0.691288021686122	1.08443488529591	1.47198795454497	0.138345636831401
