gene	CD4.Memory	CD14..Monocytes	NK.dim	pre-B.cell	NK.bright	CD4.Naive	CD8.Naive	pDC	Double.negative.T.cell	CD16..Monocytes	Platelet	CD8.effector	B.cell.progenitor	Dendritic.cell
RPL22L1	3.84039875883233	4.86501493533788	3.55591181492433	4.85886470147247	4.6137198478157	2.95913317042212	3.38723765721334	7.59923561947959	4.17910926158064	5.32838171596345	1.11570139291812	3.7092923183104	5.39848055249311	5.60612136111288
TNIK	1.58684060982872	0.117686220194166	2.08141540762142	0.0158569347998999	2.04158720393831	1.01683185688496	1.20114554095774	0.0972899757823335	1.7028173085925	0.0376235432590722	1.53715384619553	1.17730500950449	0.105724627094365	0
FNDC3B	0.400896316272947	2.91886201351882	1.59109277137558	0.0884941394059088	1.30708969086258	0.266773612504566	0.338727415496121	0.761925101749254	0.661312615951392	1.16123919281971	0.119946526768122	0.508661941167842	0.128177361449078	1.28269297190238
TNFSF10	2.82164871244985	6.71704250381586	1.75278245251259	1.23204663301778	2.52002121764365	1.98856979714054	0.706678877029835	0.189130955268839	1.00969717707017	6.54205434688839	1.02312262338466	1.00709046429807	1.22148396279782	4.8504130051027
NCEH1	0.0865735018640249	1.21206816762067	0.194192719485566	0.126161671971829	0.146773430503512	0.0641186022767391	0.14972794253138	0	0.125373057588118	0.505151727343077	0	0.077965370014046	0.137073902473211	0.818636802502787
TBL1XR1	2.6298337624321	2.16506536753928	1.95536381384221	1.7221556476313	1.53137836483954	1.77180409750553	1.78677403277679	5.90320315821812	1.94173679869178	3.14826170419426	2.98727521141111	2.06738893510838	2.25042857371077	3.57036430328584
ZMAT3	1.30058473188846	1.78078478566421	1.57031361794205	0.965679888098821	1.04874735532611	1.14545410821452	0.933573309493791	2.0569683704399	1.04595001597323	1.92033203877057	1.39910613649442	0.906289320638888	0.616508691408775	1.39524620023542
PIK3CA	1.1088968204675	1.5099296457574	0.85065207505306	0.834624212715561	1.49633767420709	0.947932559788641	0.78038851367166	0.692328944068587	0.82934128448029	1.17381474760446	0.428953121971112	0.667084935556664	0.837984204600691	1.34809024061595
ZNF639	1.20717093356117	0.803941898070197	0.74340448206839	0.695715826226123	0.816723765130215	1.02325415485381	1.16135031653235	0.788782981371739	0.872192648698677	0.686696935259925	0.72246837457764	0.884688376708484	1.01193885660066	1.24283979956647
MFN1	0.635446359751031	0.885227426470703	0.808164126208823	1.40448635084682	0.832996325023507	0.52168147156718	0.560001664698424	2.08438508655698	0.528473587402993	0.896405321868171	0.306097401152761	0.416427242243225	1.30021024274167	1.11882339900706
GNB4	0.121691556641272	2.406930876695	0.135738664654666	1.0945646695819	0.207750913665755	0.0794945979386476	0.14899089239569	2.6616916385315	0.089598344118394	2.77636312803195	0.454340535035876	0.157919681260435	0.820400974250947	2.55202273256354
ACTL6A	1.05371890283896	0.979620140388052	1.05895905749804	0.542316658248763	1.10760211145372	0.76734533829376	0.466295453471195	1.52777496778959	0.767070083363126	1.11485758650909	0.573989869648429	0.759712619495107	0.699254725254003	1.84141971363346
MRPL47	1.54073994120169	2.2820104355064	2.14296624315398	0.902435496444717	1.9126592695928	1.15105754032364	1.29809267344793	2.92802662224217	1.57878787550209	3.12606321866309	0.53727807602829	1.94932453977179	1.44185557205371	3.8300854427225
NDUFB5	3.05722204618108	5.14154126528764	2.50669163605143	2.32174309274139	2.84713530527786	2.61150859181101	3.20753871857863	4.41393953583453	2.56866156888627	6.51956112112014	1.66153157066284	1.94379333278427	3.23001968018575	6.97013129808276
TTC14	3.13128576860343	2.9889510555719	3.72390977502946	3.37522692905323	3.55843478530985	2.64270387386882	3.02526380391991	5.23912717315716	3.12867627468894	4.08503773103388	1.33888807303301	2.93598987684206	3.42713105969573	3.58550170049081
FXR1	2.84620488393661	3.8787630421897	2.29217254302371	2.26281550529049	2.41856454586208	2.69494825291974	3.42395017347804	4.80194735843462	2.45459926590121	4.14931381329522	1.63326169434701	2.19678858006651	3.1193311296759	5.28507769766342
DNAJC19	2.48530258555164	1.67105110149645	1.9355348798111	1.89279400509938	2.66419192806076	2.52434561341825	2.70056581380594	3.72996092111547	2.4274136251083	2.50965649055249	0.654951121774426	1.96223458351174	2.375851622322	3.66973788357441
ATP11B	0.957019043856187	1.56589328426814	1.6053844318586	0.724308177437971	1.55253481334699	0.8774425601336	0.842445034515623	3.29861297758901	1.38336814501942	1.26630408299089	0.977873094068013	1.23725286521129	0.888572618935527	1.08540361044824
DCUN1D1	1.06982558179962	1.78213123636463	1.37992199193306	0.916303022548163	0.981710089603786	0.635642932901674	0.729383668713832	2.7309954141043	0.930362078314699	1.53596745951155	0.74721860991356	0.888092229123724	1.08286166292348	2.72250874507499
MCCC1	0.533164568224375	0.668456994646202	0.413655493700363	0.472415127102277	0.472350657458381	0.415478555998599	0.424556575661596	2.25002279769519	0.400565446262089	0.85356441516982	0.427921103681217	0.436673109443759	0.671917451619184	2.29076652203829
KLHL6	0.991654321051187	1.0836097670582	0.134476216138548	0.56952855690135	0.418436573281191	0.793206777047945	0.902528319859345	3.06377471126309	0.240155390754383	1.16695644993855	1.80039165815304	0.157665429941777	0.884213151034934	1.79428506417487
KLHL24	1.72089118226196	2.3542446329235	1.85727618832317	1.89897474386432	1.47902800666478	1.6133577766899	1.91396922488772	2.13003500131721	1.54624673489083	2.30367741283017	0.409010808375944	1.667418804348	2.14880587348751	2.1101491555296
YEATS2	0.342256663965473	0.918433842794657	0.382762461658009	0.186961911281493	0.213433781271578	0.240103340364827	0.241800615799377	0.54405824689506	0.269390832022837	0.586901301407087	0.119946526768122	0.381476081103017	0.266100184738711	1.13456145318756
PARL	1.68399019637732	3.46388240343608	1.90226884145755	1.26225300441646	1.7430523123751	1.53980893112031	1.57496693629657	3.08078493984687	1.53604776550537	2.9907398660439	0.719198034073003	1.33209690650485	1.64466259483707	4.91682652941237
ABCC5	0.427017074849385	0.749547130344066	0.390768523455559	0.249701203568591	0.483315915089653	0.224759298612028	0.275322749338649	0.379085685228043	0.39533751062647	0.65199216398467	1.0241403221601	0.297554328364603	0.220415440380248	0.724162256772069
EIF2B5	1.0568569247098	1.25138053444203	1.18914832735344	0.991493492148471	0.867788370200785	0.916157303688634	0.923763756705641	1.16494765389421	0.951398711597166	1.72424956404713	0.253847719391166	1.3016233074953	0.960586022295621	2.50130502483716
DVL3	0.447593851637845	1.03869126806515	0.72295889578855	0.431758135251393	0.62717840502805	0.266576749801572	0.29867778942323	1.09360785418173	0.518352758860355	1.09535346356801	0.442186794495726	0.319914671366643	0.425701766179772	1.81089154466265
AP2M1	3.6513247820959	4.95189206460717	4.70915455940294	2.82231973386636	4.31648046550997	2.81066087502882	2.83208781415415	6.45936079057146	3.5103716724076	5.82382092111054	6.73197556952709	3.47217314832749	3.09897408809698	6.63850070149759
ABCF3	0.635117499721146	0.731154708928719	0.651816666415129	0.424303261345782	0.68014468767271	0.563715364142706	0.457273309099917	0.845000162547151	0.673338405762026	0.811060604670414	0.269698802379411	0.516621038030161	0.494963454214844	0.952163676085092
ALG3	0.788498505792915	1.67638618511204	1.36741438584196	0.515127545349015	0.940801512859937	0.656779530294884	0.740212472338361	2.14213875888723	0.796066649290047	1.59153010105727	0.528963663219136	0.948614842251314	0.634312904218113	2.38259319377293
PSMD2	2.12674797131559	3.1404425698652	2.54359579524606	1.49742022112188	3.05137799020553	1.46456846463664	1.84294234563589	3.87752628931874	2.13129404229059	3.36310020445775	3.29147011947806	2.15107380394349	1.89116942836493	4.87194474965626
EIF4G1	1.1765088804433	3.42515649532242	1.73036936466173	0.639397475129323	1.56147845384678	0.931484195194016	1.14107498050274	4.04328279883944	1.62834487317592	2.78372132131862	0.785433113513924	1.55227547120713	0.97191875282858	3.93745928201232
FAM131A	0.244780861890434	0.671081188574701	0.177167368254045	0.203362313979064	0.36299627293334	0.232596090396641	0.127857244190908	0.371611804846349	0.223031189956555	0.82283029743722	0.614101136834819	0.142271727402118	0.263411148319344	0.962616433041659
POLR2H	1.59480295517327	1.26746384086868	2.14718911550859	1.1144361050946	1.60693915378484	1.58939067752734	1.60774955299024	2.66898546607569	1.58938151728308	1.61690445320016	0.667542883951961	1.41355230127614	1.14692832421578	2.57851791307653
MAGEF1	0.729592673497639	0.471798009860654	0.773065843339485	0.929201600215587	0.214222965464845	0.796500080260493	0.806111410272506	0.107704961431183	0.174160186153728	0.0956652304076494	0.714927674168553	0.324717539365327	0.889049350438042	2.67625586614487
VPS8	1.02343512667492	1.67638987614943	0.916719110536578	0.713798817688162	1.10635150540975	1.02581769141674	1.01432083923005	1.24698785277891	0.683129605980029	1.52131588325842	0.787999759631536	0.854408030066198	1.01935565173385	1.95796167433264
MAP3K13	0.595435495537567	1.25361284583573	0.519631506792927	0.790315644179566	0.716776782833381	0.70414124764707	0.855482534438644	0.684328886699069	0.748741188829134	0.849433214843133	0.538040830396593	0.621346589661699	1.28211189159666	2.96033636736136
TMEM41A	0.716823069630207	0.801180249605741	0.910501860659998	0.434158198903186	0.696721186177929	0.605093314289607	0.481831962411994	1.18783641030096	0.549394103292022	0.930361027356681	0.679279024462985	0.5490584201489	0.661351777437857	1.25208388684584
SENP2	0.649458153848207	1.0055669294754	0.756542992860518	0.69231436707226	0.762388036423857	0.621924950474461	0.43636105346352	1.71574368557925	0.644757352306453	1.09601961433335	0.728504199803022	0.979057815873525	0.898925304002997	1.46264325333782
IGF2BP2	0.0257903935589854	0.982045178538479	0.120981644395104	0.0162921197869371	0.140005225652383	0.00671845746876816	0	0.287172314756223	0	1.23041248666806	1.84122523552345	0.0413331274158937	0	2.00220101237466
TRA2B	5.51292508444617	6.67555453429244	5.46720431454486	5.22903728361985	6.05734428748402	4.92438049527759	5.02293218052844	7.18113495840526	4.90954078960509	6.78675573239873	2.94258513598032	4.92417263318827	5.63510392405019	7.78227117459871
