gene	Astro	Endo	Ex1	Ex2	Ex3e	Ex4	Ex5b	Ex6a	Ex6b	Ex8	Ex9	In1a	In1b	In1c	In3	In4a	In4b	In6a	In6b	In7	In8	Microglia	Oligo	OPC	Per
AASS	1.97465801747417	0.88534184158564	0.081963059338466	0.311949776463576	0.16979243792437	0.0269702072833083	0.127944468189198	0.735097497172649	0.284792754727882	0.0890729518930054	0.178360751683311	0.0468432328378726	0.186618652512109	0.0525158701663719	0.0661822218874089	0.198521698203689	0.213444247034292	0.132749729771997	0.114020516960907	0.0578152700912796	0.0955372770584447	0.570710609617249	0.752938468762869	1.24440446861251	0
AATF	0.420152824107984	0.601318329624656	0.728256772477584	0.968828926913262	0.664392075163513	0.527443774940406	0.878909841859522	0.621279855167022	0.714706719033574	0.876708726540905	0.369496592747183	0.455119182874526	0.55821837035603	0.514174756671679	0.456993730767938	0.378530429856352	0.584411304168043	0.348994234465924	0.561075458999649	0.453902259312718	0.466125666489454	0.696227947201336	0.437662530186545	0.360355259752388	0.253090550532973
AATK	0.862227542449045	0.727591245922032	1.48330495138191	1.91406878463873	1.71415050594102	1.63244333697603	1.98578164750744	1.83433293211146	1.73182979818368	1.43303552687762	2.13361232378772	1.61844219792774	1.88064801760275	1.1741947605961	1.42815069645959	1.62044365186926	1.33266352861377	1.42370055175804	1.55896788243765	1.53900162432328	1.54341929014574	1.02311721872521	2.93284293816509	0.891455147877972	0.244022173593613
ABAT	1.13306035084693	0.771133107983749	2.13802090939338	2.56102123229029	2.42697002442766	1.96617375922066	2.33705910515243	2.67364996137067	1.99176013211921	2.1434719097047	2.57394628845716	3.45261739324556	2.90678664070947	2.67563428831552	2.92366665669395	2.50328100996157	3.13712915934293	2.79027069736653	4.13232701952773	2.93504645003407	3.28312646715621	0.874948941358239	0.45724518969003	1.95835450344507	0
ABCA1	1.21159930427092	1.13640779873274	0.310794318219084	0.293907660832355	0.193324573872623	0.115579998431755	0.195951155145198	0.295282213752399	0.17749308457679	0.531078067467877	0.0966176289874828	0.468293440904445	0.568693591070929	0.631756154226739	0.359973375252576	0.308791294502075	0.380922201887188	0.904929639513867	0.700421139087268	0.196536926690671	0.32652567060201	0.317154401880473	0.157276233716035	0.830333486623603	0
ABCA10	0.10061662172989	0.674562802006306	1.35936440749572	2.22209964402966	1.23446582414228	1.17496843031324	1.49845684063104	1.65410078732481	1.10557223959359	1.04679486359995	0.127352160282178	1.26129193280329	0.753949933471734	0.863794334571624	1.14177457418697	0.952605795550905	1.37058022842345	1.14508966818784	1.6418627645152	1.39727755501132	1.57600879499875	0.460811287137038	0.192838628346961	0.320897336403946	0.983279530180351
ABCA17P	0.185118986408946	0.222645374463452	0.898641624470649	1.10659497074217	0.533443002274221	0.662654426242595	0.977922179403238	0.939999372946799	1.27828484841265	0.894751303498213	0.356765722548443	0.559428693636833	0.741606602871417	0.414494388498904	0.666724432701437	0.459695874628165	0.893998847873078	0.492234196126617	0.707000094026545	0.835210558373387	0.428510729217022	0.309951842042504	0.160764501592299	0.24529050717054	0
ABCA2	1.15444691938996	1.155361204116	1.72316618787723	2.15039602203384	1.8758555197848	1.33290090320779	1.7776811874655	1.18863049070892	1.5530081404411	1.04872605490855	2.18433005350091	1.59095553590806	1.60851863750351	1.02543646025839	1.10769360215915	0.853388124543594	1.10333355273694	1.37645089818789	1.08464679963188	1.20931393075176	1.34078144421773	1.44982810221053	3.88406804688366	1.25938335964849	0.254049885407563
ABCA3	0.84289748259778	0.929304450424099	2.57775941891789	2.9725790738125	2.4153157598928	2.04081924940218	2.88363035415609	2.88375028241158	2.55773225425883	2.68892911647068	2.14852270483598	2.16493459018462	1.99447389684885	1.75617088600652	2.11904052023867	1.6930681480483	2.30221427797301	1.99972633894935	2.5179657539546	2.38998932385694	1.99423813721283	0.690903351038446	0.770529444783716	1.2623298141788	0.457287381348667
ABCA5	0.538930554483499	1.81320856709861	3.25323590901237	4.39313262263434	1.96367970239772	2.95560735059442	3.64982032592113	3.67471153368799	2.67034720008431	2.96437781077472	1.69935812458952	2.82425073452475	2.49561309209137	2.69752551143712	2.70104571999507	2.41273871301555	2.96751510821698	2.83226267257687	3.3121518782908	3.51278709072849	3.58485503206986	1.26900658194555	1.01710286710305	1.494994549869	1.17727943558305
ABCA6	0.108889684968331	0.565759792181533	0.996436994300705	2.09897507921048	0.667744294058125	0.817576104754862	1.34114208517445	1.80346978185141	0.924182684728524	0.789142906385193	0.241410807311509	0.745740600327144	0.665560207642415	0.715543539251401	0.783817491771003	0.336707739335908	0.907877209130739	0.952990706997698	1.55801302910959	0.560041808915207	0.972044024232341	0.355532361925751	0.304533258408706	0.259351413861799	0.47396781060164
ABCA7	0.138811917838738	0.2074384366695	0.689987064481688	0.878262589761258	0.749528340152419	0.520534000733829	0.911483173640685	0.778297855187013	0.744045996020965	0.643934520481015	0.321121708699494	0.532879019607206	0.340504026295277	0.517533811419686	0.402437050140969	0.428847310576463	0.652493271787212	0.589199415458872	0.587040588068185	0.294969266364923	0.403779440444777	0.304153499027408	0.109825311142098	0.105030128694492	0
ABCA8	0.600921126387119	1.46472947961973	0.153739048632752	0.962982794427439	0.198934857353398	0.161227104107383	0.336644317909664	0.518352388833433	0.309040774355914	0.24088786101244	0.0606235001208979	0.261554050676344	0.751951994142412	0.0995643875363192	0.132950558195863	0.154785493235026	0.160802439011047	0.183202994200331	0.293199922851319	0.16892163331402	0.386202871365359	0.993567688312598	3.57918577620604	0.661969407599888	0.488191948926656
ABCA9	0.102507213021109	2.01717771979233	0.857533061648649	1.54862708910884	0.795290301100976	0.699415446693	0.993113057242456	1.26349987332284	0.721133013301184	0.753593444559995	0.262907959262785	0.761505488609161	0.463401990366052	0.700192090380731	0.615216634110538	0.630778495220341	0.946724603384159	0.835957824954548	1.18883465935673	0.556348021041957	0.826187194648562	0.359398375130421	0.172195819564323	0.179414291027004	1.8092793017308
ABCA9-AS1	0.0598287457983919	1.05959637330706	0.722081693099693	1.29227378399796	0.462932725640245	0.387810489770615	0.680508564050542	1.02252413940876	0.547128542992357	0.445800118070889	0.219137025742944	0.3813621785456	0.279263332639081	0.493240400561912	0.682667256454058	0.335382786258904	0.460747783789271	0.655389464051233	0.957295130231795	0.41207145053502	0.356804744115011	0.14366064192186	0.0648661193781795	0.112636045608842	0
ABCB1	0.131257273360385	7.79135670265315	1.30393647055733	1.42828499264997	0.613506967414012	0.846151341310611	1.27749496223975	0.845516177833901	1.61159018358785	0.94985311308496	0.182225848732467	0.571872221177124	0.933772368929883	0.667135084788683	0.837478609551173	0.561399490137078	0.640495939111034	0.634929683972866	0.938040751917726	0.978845074285103	0.608543714016401	0.320331019836122	0.118687254968772	0.234322675030989	2.49416736938157
